id;node;profile;pLoad;qLoad;sR;subnet;voltLvl
LV1.102 Load 7;LV1.102 Bus 3;L1-A;0.008;0.003162;0.00860215;LV1.102;7
LV1.102 Load 8;LV1.102 Bus 1;L2-A;0.014;0.005533;0.0150538;LV1.102;7
LV1.102 Load 9;LV1.102 Bus 7;L2-A;0.003;0.001186;0.00322581;LV1.102;7
LV1.102 Load 10;LV1.102 Bus 12;L1-A;0.012;0.004743;0.0129032;LV1.102;7
LV1.102 Load 11;LV1.102 Bus 11;H0-A;0.002;0.00079;0.00215054;LV1.102;7
LV1.102 Load 12;LV1.102 Bus 2;L1-A;0.004;0.001581;0.00430108;LV1.102;7
LV1.102 Load 13;LV1.102 Bus 5;L2-A;0.014;0.005533;0.0150538;LV1.102;7
LV1.103 Load 1;LV1.103 Bus 10;L2-A;0.006;0.002371;0.00645161;LV1.103;7
LV1.103 Load 2;LV1.103 Bus 8;H0-C;0.003;0.001186;0.00322581;LV1.103;7
LV1.103 Load 3;LV1.103 Bus 14;L1-A;0.005;0.001976;0.00537634;LV1.103;7
LV1.103 Load 4;LV1.103 Bus 13;H0-B;0.002;0.00079;0.00215054;LV1.103;7
LV1.103 Load 5;LV1.103 Bus 9;L2-A;0.004;0.001581;0.00430108;LV1.103;7
LV1.103 Load 6;LV1.103 Bus 6;L1-A;0.003;0.001186;0.00322581;LV1.103;7
LV1.103 Load 7;LV1.103 Bus 3;L1-A;0.008;0.003162;0.00860215;LV1.103;7
LV1.103 Load 8;LV1.103 Bus 1;L2-A;0.014;0.005533;0.0150538;LV1.103;7
LV1.103 Load 9;LV1.103 Bus 7;L2-A;0.003;0.001186;0.00322581;LV1.103;7
LV1.103 Load 10;LV1.103 Bus 12;L1-A;0.012;0.004743;0.0129032;LV1.103;7
LV1.103 Load 11;LV1.103 Bus 11;H0-A;0.002;0.00079;0.00215054;LV1.103;7
LV1.103 Load 12;LV1.103 Bus 2;L1-A;0.004;0.001581;0.00430108;LV1.103;7
LV1.103 Load 13;LV1.103 Bus 5;L2-A;0.014;0.005533;0.0150538;LV1.103;7
LV1.104 Load 1;LV1.104 Bus 10;L2-A;0.006;0.002371;0.00645161;LV1.104;7
LV1.104 Load 2;LV1.104 Bus 8;H0-C;0.003;0.001186;0.00322581;LV1.104;7
LV1.104 Load 3;LV1.104 Bus 14;L1-A;0.005;0.001976;0.00537634;LV1.104;7
LV1.104 Load 4;LV1.104 Bus 13;H0-B;0.002;0.00079;0.00215054;LV1.104;7
LV1.104 Load 5;LV1.104 Bus 9;L2-A;0.004;0.001581;0.00430108;LV1.104;7
LV1.104 Load 6;LV1.104 Bus 6;L1-A;0.003;0.001186;0.00322581;LV1.104;7
LV1.104 Load 7;LV1.104 Bus 3;L1-A;0.008;0.003162;0.00860215;LV1.104;7
LV1.104 Load 8;LV1.104 Bus 1;L2-A;0.014;0.005533;0.0150538;LV1.104;7
LV1.104 Load 9;LV1.104 Bus 7;L2-A;0.003;0.001186;0.00322581;LV1.104;7
LV1.104 Load 10;LV1.104 Bus 12;L1-A;0.012;0.004743;0.0129032;LV1.104;7
LV1.104 Load 11;LV1.104 Bus 11;H0-A;0.002;0.00079;0.00215054;LV1.104;7
LV1.104 Load 12;LV1.104 Bus 2;L1-A;0.004;0.001581;0.00430108;LV1.104;7
LV1.104 Load 13;LV1.104 Bus 5;L2-A;0.014;0.005533;0.0150538;LV1.104;7
LV1.105 Load 1;LV1.105 Bus 10;L2-A;0.006;0.002371;0.00645161;LV1.105;7
LV1.105 Load 2;LV1.105 Bus 8;H0-C;0.003;0.001186;0.00322581;LV1.105;7
LV1.105 Load 3;LV1.105 Bus 14;L1-A;0.005;0.001976;0.00537634;LV1.105;7
LV1.105 Load 4;LV1.105 Bus 13;H0-B;0.002;0.00079;0.00215054;LV1.105;7
LV1.105 Load 5;LV1.105 Bus 9;L2-A;0.004;0.001581;0.00430108;LV1.105;7
LV1.105 Load 6;LV1.105 Bus 6;L1-A;0.003;0.001186;0.00322581;LV1.105;7
LV1.105 Load 7;LV1.105 Bus 3;L1-A;0.008;0.003162;0.00860215;LV1.105;7
LV1.105 Load 8;LV1.105 Bus 1;L2-A;0.014;0.005533;0.0150538;LV1.105;7
LV1.105 Load 9;LV1.105 Bus 7;L2-A;0.003;0.001186;0.00322581;LV1.105;7
LV1.105 Load 10;LV1.105 Bus 12;L1-A;0.012;0.004743;0.0129032;LV1.105;7
LV1.105 Load 11;LV1.105 Bus 11;H0-A;0.002;0.00079;0.00215054;LV1.105;7
LV1.105 Load 12;LV1.105 Bus 2;L1-A;0.004;0.001581;0.00430108;LV1.105;7
LV1.105 Load 13;LV1.105 Bus 5;L2-A;0.014;0.005533;0.0150538;LV1.105;7
LV1.106 Load 1;LV1.106 Bus 10;L2-A;0.006;0.002371;0.00645161;LV1.106;7
LV1.106 Load 2;LV1.106 Bus 8;H0-C;0.003;0.001186;0.00322581;LV1.106;7
LV1.106 Load 3;LV1.106 Bus 14;L1-A;0.005;0.001976;0.00537634;LV1.106;7
LV1.106 Load 4;LV1.106 Bus 13;H0-B;0.002;0.00079;0.00215054;LV1.106;7
LV1.106 Load 5;LV1.106 Bus 9;L2-A;0.004;0.001581;0.00430108;LV1.106;7
LV1.106 Load 6;LV1.106 Bus 6;L1-A;0.003;0.001186;0.00322581;LV1.106;7
LV1.106 Load 7;LV1.106 Bus 3;L1-A;0.008;0.003162;0.00860215;LV1.106;7
LV1.106 Load 8;LV1.106 Bus 1;L2-A;0.014;0.005533;0.0150538;LV1.106;7
LV1.106 Load 9;LV1.106 Bus 7;L2-A;0.003;0.001186;0.00322581;LV1.106;7
LV1.106 Load 10;LV1.106 Bus 12;L1-A;0.012;0.004743;0.0129032;LV1.106;7
LV1.106 Load 11;LV1.106 Bus 11;H0-A;0.002;0.00079;0.00215054;LV1.106;7
LV1.106 Load 12;LV1.106 Bus 2;L1-A;0.004;0.001581;0.00430108;LV1.106;7
LV1.106 Load 13;LV1.106 Bus 5;L2-A;0.014;0.005533;0.0150538;LV1.106;7
LV1.107 Load 1;LV1.107 Bus 10;L2-A;0.006;0.002371;0.00645161;LV1.107;7
LV1.107 Load 2;LV1.107 Bus 8;H0-C;0.003;0.001186;0.00322581;LV1.107;7
LV1.107 Load 3;LV1.107 Bus 14;L1-A;0.005;0.001976;0.00537634;LV1.107;7
LV1.107 Load 4;LV1.107 Bus 13;H0-B;0.002;0.00079;0.00215054;LV1.107;7
LV1.107 Load 5;LV1.107 Bus 9;L2-A;0.004;0.001581;0.00430108;LV1.107;7
LV1.107 Load 6;LV1.107 Bus 6;L1-A;0.003;0.001186;0.00322581;LV1.107;7
LV1.107 Load 7;LV1.107 Bus 3;L1-A;0.008;0.003162;0.00860215;LV1.107;7
LV1.107 Load 8;LV1.107 Bus 1;L2-A;0.014;0.005533;0.0150538;LV1.107;7
LV1.107 Load 9;LV1.107 Bus 7;L2-A;0.003;0.001186;0.00322581;LV1.107;7
LV1.107 Load 10;LV1.107 Bus 12;L1-A;0.012;0.004743;0.0129032;LV1.107;7
LV1.107 Load 11;LV1.107 Bus 11;H0-A;0.002;0.00079;0.00215054;LV1.107;7
LV1.107 Load 12;LV1.107 Bus 2;L1-A;0.004;0.001581;0.00430108;LV1.107;7
LV1.107 Load 13;LV1.107 Bus 5;L2-A;0.014;0.005533;0.0150538;LV1.107;7
LV1.108 Load 1;LV1.108 Bus 10;L2-A;0.006;0.002371;0.00645161;LV1.108;7
LV1.108 Load 2;LV1.108 Bus 8;H0-C;0.003;0.001186;0.00322581;LV1.108;7
LV1.108 Load 3;LV1.108 Bus 14;L1-A;0.005;0.001976;0.00537634;LV1.108;7
LV1.108 Load 4;LV1.108 Bus 13;H0-B;0.002;0.00079;0.00215054;LV1.108;7
LV1.108 Load 5;LV1.108 Bus 9;L2-A;0.004;0.001581;0.00430108;LV1.108;7
LV1.108 Load 6;LV1.108 Bus 6;L1-A;0.003;0.001186;0.00322581;LV1.108;7
LV1.108 Load 7;LV1.108 Bus 3;L1-A;0.008;0.003162;0.00860215;LV1.108;7
LV1.108 Load 8;LV1.108 Bus 1;L2-A;0.014;0.005533;0.0150538;LV1.108;7
LV1.108 Load 9;LV1.108 Bus 7;L2-A;0.003;0.001186;0.00322581;LV1.108;7
LV1.108 Load 10;LV1.108 Bus 12;L1-A;0.012;0.004743;0.0129032;LV1.108;7
LV1.108 Load 11;LV1.108 Bus 11;H0-A;0.002;0.00079;0.00215054;LV1.108;7
LV1.108 Load 12;LV1.108 Bus 2;L1-A;0.004;0.001581;0.00430108;LV1.108;7
LV1.108 Load 13;LV1.108 Bus 5;L2-A;0.014;0.005533;0.0150538;LV1.108;7
LV1.109 Load 1;LV1.109 Bus 10;L2-A;0.006;0.002371;0.00645161;LV1.109;7
LV1.109 Load 2;LV1.109 Bus 8;H0-C;0.003;0.001186;0.00322581;LV1.109;7
LV1.109 Load 3;LV1.109 Bus 14;L1-A;0.005;0.001976;0.00537634;LV1.109;7
LV1.109 Load 4;LV1.109 Bus 13;H0-B;0.002;0.00079;0.00215054;LV1.109;7
LV1.109 Load 5;LV1.109 Bus 9;L2-A;0.004;0.001581;0.00430108;LV1.109;7
LV1.109 Load 6;LV1.109 Bus 6;L1-A;0.003;0.001186;0.00322581;LV1.109;7
LV1.109 Load 7;LV1.109 Bus 3;L1-A;0.008;0.003162;0.00860215;LV1.109;7
LV1.109 Load 8;LV1.109 Bus 1;L2-A;0.014;0.005533;0.0150538;LV1.109;7
LV1.109 Load 9;LV1.109 Bus 7;L2-A;0.003;0.001186;0.00322581;LV1.109;7
LV1.109 Load 10;LV1.109 Bus 12;L1-A;0.012;0.004743;0.0129032;LV1.109;7
LV1.109 Load 11;LV1.109 Bus 11;H0-A;0.002;0.00079;0.00215054;LV1.109;7
LV1.109 Load 12;LV1.109 Bus 2;L1-A;0.004;0.001581;0.00430108;LV1.109;7
LV1.109 Load 13;LV1.109 Bus 5;L2-A;0.014;0.005533;0.0150538;LV1.109;7
LV1.110 Load 1;LV1.110 Bus 10;L2-A;0.006;0.002371;0.00645161;LV1.110;7
LV1.110 Load 2;LV1.110 Bus 8;H0-C;0.003;0.001186;0.00322581;LV1.110;7
LV1.110 Load 3;LV1.110 Bus 14;L1-A;0.005;0.001976;0.00537634;LV1.110;7
LV1.110 Load 4;LV1.110 Bus 13;H0-B;0.002;0.00079;0.00215054;LV1.110;7
LV1.110 Load 5;LV1.110 Bus 9;L2-A;0.004;0.001581;0.00430108;LV1.110;7
LV1.110 Load 6;LV1.110 Bus 6;L1-A;0.003;0.001186;0.00322581;LV1.110;7
LV1.110 Load 7;LV1.110 Bus 3;L1-A;0.008;0.003162;0.00860215;LV1.110;7
LV1.110 Load 8;LV1.110 Bus 1;L2-A;0.014;0.005533;0.0150538;LV1.110;7
LV1.110 Load 9;LV1.110 Bus 7;L2-A;0.003;0.001186;0.00322581;LV1.110;7
LV1.110 Load 10;LV1.110 Bus 12;L1-A;0.012;0.004743;0.0129032;LV1.110;7
LV1.110 Load 11;LV1.110 Bus 11;H0-A;0.002;0.00079;0.00215054;LV1.110;7
LV1.110 Load 12;LV1.110 Bus 2;L1-A;0.004;0.001581;0.00430108;LV1.110;7
LV1.110 Load 13;LV1.110 Bus 5;L2-A;0.014;0.005533;0.0150538;LV1.110;7
LV1.111 Load 1;LV1.111 Bus 10;L2-A;0.006;0.002371;0.00645161;LV1.111;7
LV1.111 Load 2;LV1.111 Bus 8;H0-C;0.003;0.001186;0.00322581;LV1.111;7
LV1.111 Load 3;LV1.111 Bus 14;L1-A;0.005;0.001976;0.00537634;LV1.111;7
LV1.111 Load 4;LV1.111 Bus 13;H0-B;0.002;0.00079;0.00215054;LV1.111;7
LV1.111 Load 5;LV1.111 Bus 9;L2-A;0.004;0.001581;0.00430108;LV1.111;7
LV1.111 Load 6;LV1.111 Bus 6;L1-A;0.003;0.001186;0.00322581;LV1.111;7
LV1.111 Load 7;LV1.111 Bus 3;L1-A;0.008;0.003162;0.00860215;LV1.111;7
LV1.111 Load 8;LV1.111 Bus 1;L2-A;0.014;0.005533;0.0150538;LV1.111;7
LV1.111 Load 9;LV1.111 Bus 7;L2-A;0.003;0.001186;0.00322581;LV1.111;7
LV1.111 Load 10;LV1.111 Bus 12;L1-A;0.012;0.004743;0.0129032;LV1.111;7
LV1.111 Load 11;LV1.111 Bus 11;H0-A;0.002;0.00079;0.00215054;LV1.111;7
LV1.111 Load 12;LV1.111 Bus 2;L1-A;0.004;0.001581;0.00430108;LV1.111;7
LV1.111 Load 13;LV1.111 Bus 5;L2-A;0.014;0.005533;0.0150538;LV1.111;7
LV1.112 Load 1;LV1.112 Bus 10;L2-A;0.006;0.002371;0.00645161;LV1.112;7
LV1.112 Load 2;LV1.112 Bus 8;H0-C;0.003;0.001186;0.00322581;LV1.112;7
LV1.112 Load 3;LV1.112 Bus 14;L1-A;0.005;0.001976;0.00537634;LV1.112;7
LV1.112 Load 4;LV1.112 Bus 13;H0-B;0.002;0.00079;0.00215054;LV1.112;7
LV1.112 Load 5;LV1.112 Bus 9;L2-A;0.004;0.001581;0.00430108;LV1.112;7
LV1.112 Load 6;LV1.112 Bus 6;L1-A;0.003;0.001186;0.00322581;LV1.112;7
LV1.112 Load 7;LV1.112 Bus 3;L1-A;0.008;0.003162;0.00860215;LV1.112;7
LV1.112 Load 8;LV1.112 Bus 1;L2-A;0.014;0.005533;0.0150538;LV1.112;7
LV1.112 Load 9;LV1.112 Bus 7;L2-A;0.003;0.001186;0.00322581;LV1.112;7
LV1.112 Load 10;LV1.112 Bus 12;L1-A;0.012;0.004743;0.0129032;LV1.112;7
LV1.112 Load 11;LV1.112 Bus 11;H0-A;0.002;0.00079;0.00215054;LV1.112;7
LV1.112 Load 12;LV1.112 Bus 2;L1-A;0.004;0.001581;0.00430108;LV1.112;7
LV1.112 Load 13;LV1.112 Bus 5;L2-A;0.014;0.005533;0.0150538;LV1.112;7
LV1.113 Load 1;LV1.113 Bus 10;L2-A;0.006;0.002371;0.00645161;LV1.113;7
LV1.113 Load 2;LV1.113 Bus 8;H0-C;0.003;0.001186;0.00322581;LV1.113;7
LV1.113 Load 3;LV1.113 Bus 14;L1-A;0.005;0.001976;0.00537634;LV1.113;7
LV1.113 Load 4;LV1.113 Bus 13;H0-B;0.002;0.00079;0.00215054;LV1.113;7
LV1.113 Load 5;LV1.113 Bus 9;L2-A;0.004;0.001581;0.00430108;LV1.113;7
LV1.113 Load 6;LV1.113 Bus 6;L1-A;0.003;0.001186;0.00322581;LV1.113;7
LV1.113 Load 7;LV1.113 Bus 3;L1-A;0.008;0.003162;0.00860215;LV1.113;7
LV1.113 Load 8;LV1.113 Bus 1;L2-A;0.014;0.005533;0.0150538;LV1.113;7
LV1.113 Load 9;LV1.113 Bus 7;L2-A;0.003;0.001186;0.00322581;LV1.113;7
LV1.113 Load 10;LV1.113 Bus 12;L1-A;0.012;0.004743;0.0129032;LV1.113;7
LV1.113 Load 11;LV1.113 Bus 11;H0-A;0.002;0.00079;0.00215054;LV1.113;7
LV1.113 Load 12;LV1.113 Bus 2;L1-A;0.004;0.001581;0.00430108;LV1.113;7
LV1.113 Load 13;LV1.113 Bus 5;L2-A;0.014;0.005533;0.0150538;LV1.113;7
LV1.114 Load 1;LV1.114 Bus 10;L2-A;0.006;0.002371;0.00645161;LV1.114;7
LV1.114 Load 2;LV1.114 Bus 8;H0-C;0.003;0.001186;0.00322581;LV1.114;7
LV1.114 Load 3;LV1.114 Bus 14;L1-A;0.005;0.001976;0.00537634;LV1.114;7
LV1.114 Load 4;LV1.114 Bus 13;H0-B;0.002;0.00079;0.00215054;LV1.114;7
LV1.114 Load 5;LV1.114 Bus 9;L2-A;0.004;0.001581;0.00430108;LV1.114;7
LV1.114 Load 6;LV1.114 Bus 6;L1-A;0.003;0.001186;0.00322581;LV1.114;7
LV1.114 Load 7;LV1.114 Bus 3;L1-A;0.008;0.003162;0.00860215;LV1.114;7
LV1.114 Load 8;LV1.114 Bus 1;L2-A;0.014;0.005533;0.0150538;LV1.114;7
LV1.114 Load 9;LV1.114 Bus 7;L2-A;0.003;0.001186;0.00322581;LV1.114;7
LV1.114 Load 10;LV1.114 Bus 12;L1-A;0.012;0.004743;0.0129032;LV1.114;7
LV1.114 Load 11;LV1.114 Bus 11;H0-A;0.002;0.00079;0.00215054;LV1.114;7
LV1.114 Load 12;LV1.114 Bus 2;L1-A;0.004;0.001581;0.00430108;LV1.114;7
LV1.114 Load 13;LV1.114 Bus 5;L2-A;0.014;0.005533;0.0150538;LV1.114;7
LV1.115 Load 1;LV1.115 Bus 10;L2-A;0.006;0.002371;0.00645161;LV1.115;7
LV1.115 Load 2;LV1.115 Bus 8;H0-C;0.003;0.001186;0.00322581;LV1.115;7
LV1.115 Load 3;LV1.115 Bus 14;L1-A;0.005;0.001976;0.00537634;LV1.115;7
LV1.115 Load 4;LV1.115 Bus 13;H0-B;0.002;0.00079;0.00215054;LV1.115;7
LV1.115 Load 5;LV1.115 Bus 9;L2-A;0.004;0.001581;0.00430108;LV1.115;7
LV1.115 Load 6;LV1.115 Bus 6;L1-A;0.003;0.001186;0.00322581;LV1.115;7
LV1.115 Load 7;LV1.115 Bus 3;L1-A;0.008;0.003162;0.00860215;LV1.115;7
LV1.115 Load 8;LV1.115 Bus 1;L2-A;0.014;0.005533;0.0150538;LV1.115;7
LV1.115 Load 9;LV1.115 Bus 7;L2-A;0.003;0.001186;0.00322581;LV1.115;7
LV1.115 Load 10;LV1.115 Bus 12;L1-A;0.012;0.004743;0.0129032;LV1.115;7
LV1.115 Load 11;LV1.115 Bus 11;H0-A;0.002;0.00079;0.00215054;LV1.115;7
LV1.115 Load 12;LV1.115 Bus 2;L1-A;0.004;0.001581;0.00430108;LV1.115;7
LV1.115 Load 13;LV1.115 Bus 5;L2-A;0.014;0.005533;0.0150538;LV1.115;7
LV1.116 Load 1;LV1.116 Bus 10;L2-A;0.006;0.002371;0.00645161;LV1.116;7
LV1.116 Load 2;LV1.116 Bus 8;H0-C;0.003;0.001186;0.00322581;LV1.116;7
LV1.116 Load 3;LV1.116 Bus 14;L1-A;0.005;0.001976;0.00537634;LV1.116;7
LV1.116 Load 4;LV1.116 Bus 13;H0-B;0.002;0.00079;0.00215054;LV1.116;7
LV1.116 Load 5;LV1.116 Bus 9;L2-A;0.004;0.001581;0.00430108;LV1.116;7
LV1.116 Load 6;LV1.116 Bus 6;L1-A;0.003;0.001186;0.00322581;LV1.116;7
LV1.116 Load 7;LV1.116 Bus 3;L1-A;0.008;0.003162;0.00860215;LV1.116;7
LV1.116 Load 8;LV1.116 Bus 1;L2-A;0.014;0.005533;0.0150538;LV1.116;7
LV1.116 Load 9;LV1.116 Bus 7;L2-A;0.003;0.001186;0.00322581;LV1.116;7
LV1.116 Load 10;LV1.116 Bus 12;L1-A;0.012;0.004743;0.0129032;LV1.116;7
LV1.116 Load 11;LV1.116 Bus 11;H0-A;0.002;0.00079;0.00215054;LV1.116;7
LV1.116 Load 12;LV1.116 Bus 2;L1-A;0.004;0.001581;0.00430108;LV1.116;7
LV1.116 Load 13;LV1.116 Bus 5;L2-A;0.014;0.005533;0.0150538;LV1.116;7
LV1.117 Load 1;LV1.117 Bus 10;L2-A;0.006;0.002371;0.00645161;LV1.117;7
LV1.117 Load 2;LV1.117 Bus 8;H0-C;0.003;0.001186;0.00322581;LV1.117;7
LV1.117 Load 3;LV1.117 Bus 14;L1-A;0.005;0.001976;0.00537634;LV1.117;7
LV1.117 Load 4;LV1.117 Bus 13;H0-B;0.002;0.00079;0.00215054;LV1.117;7
LV1.117 Load 5;LV1.117 Bus 9;L2-A;0.004;0.001581;0.00430108;LV1.117;7
LV1.117 Load 6;LV1.117 Bus 6;L1-A;0.003;0.001186;0.00322581;LV1.117;7
LV1.117 Load 7;LV1.117 Bus 3;L1-A;0.008;0.003162;0.00860215;LV1.117;7
LV1.117 Load 8;LV1.117 Bus 1;L2-A;0.014;0.005533;0.0150538;LV1.117;7
LV1.117 Load 9;LV1.117 Bus 7;L2-A;0.003;0.001186;0.00322581;LV1.117;7
LV1.117 Load 10;LV1.117 Bus 12;L1-A;0.012;0.004743;0.0129032;LV1.117;7
LV1.117 Load 11;LV1.117 Bus 11;H0-A;0.002;0.00079;0.00215054;LV1.117;7
LV1.117 Load 12;LV1.117 Bus 2;L1-A;0.004;0.001581;0.00430108;LV1.117;7
LV1.117 Load 13;LV1.117 Bus 5;L2-A;0.014;0.005533;0.0150538;LV1.117;7
LV1.118 Load 1;LV1.118 Bus 10;L2-A;0.006;0.002371;0.00645161;LV1.118;7
LV1.118 Load 2;LV1.118 Bus 8;H0-C;0.003;0.001186;0.00322581;LV1.118;7
LV1.118 Load 3;LV1.118 Bus 14;L1-A;0.005;0.001976;0.00537634;LV1.118;7
LV1.118 Load 4;LV1.118 Bus 13;H0-B;0.002;0.00079;0.00215054;LV1.118;7
LV1.118 Load 5;LV1.118 Bus 9;L2-A;0.004;0.001581;0.00430108;LV1.118;7
LV1.118 Load 6;LV1.118 Bus 6;L1-A;0.003;0.001186;0.00322581;LV1.118;7
LV1.118 Load 7;LV1.118 Bus 3;L1-A;0.008;0.003162;0.00860215;LV1.118;7
LV1.118 Load 8;LV1.118 Bus 1;L2-A;0.014;0.005533;0.0150538;LV1.118;7
LV1.118 Load 9;LV1.118 Bus 7;L2-A;0.003;0.001186;0.00322581;LV1.118;7
LV1.118 Load 10;LV1.118 Bus 12;L1-A;0.012;0.004743;0.0129032;LV1.118;7
LV1.118 Load 11;LV1.118 Bus 11;H0-A;0.002;0.00079;0.00215054;LV1.118;7
LV1.118 Load 12;LV1.118 Bus 2;L1-A;0.004;0.001581;0.00430108;LV1.118;7
LV1.118 Load 13;LV1.118 Bus 5;L2-A;0.014;0.005533;0.0150538;LV1.118;7
LV1.119 Load 1;LV1.119 Bus 10;L2-A;0.006;0.002371;0.00645161;LV1.119;7
LV1.119 Load 2;LV1.119 Bus 8;H0-C;0.003;0.001186;0.00322581;LV1.119;7
LV1.119 Load 3;LV1.119 Bus 14;L1-A;0.005;0.001976;0.00537634;LV1.119;7
LV1.119 Load 4;LV1.119 Bus 13;H0-B;0.002;0.00079;0.00215054;LV1.119;7
LV1.119 Load 5;LV1.119 Bus 9;L2-A;0.004;0.001581;0.00430108;LV1.119;7
LV1.119 Load 6;LV1.119 Bus 6;L1-A;0.003;0.001186;0.00322581;LV1.119;7
LV1.119 Load 7;LV1.119 Bus 3;L1-A;0.008;0.003162;0.00860215;LV1.119;7
LV1.119 Load 8;LV1.119 Bus 1;L2-A;0.014;0.005533;0.0150538;LV1.119;7
LV1.119 Load 9;LV1.119 Bus 7;L2-A;0.003;0.001186;0.00322581;LV1.119;7
LV1.119 Load 10;LV1.119 Bus 12;L1-A;0.012;0.004743;0.0129032;LV1.119;7
LV1.119 Load 11;LV1.119 Bus 11;H0-A;0.002;0.00079;0.00215054;LV1.119;7
LV1.119 Load 12;LV1.119 Bus 2;L1-A;0.004;0.001581;0.00430108;LV1.119;7
LV1.119 Load 13;LV1.119 Bus 5;L2-A;0.014;0.005533;0.0150538;LV1.119;7
LV1.120 Load 1;LV1.120 Bus 10;L2-A;0.006;0.002371;0.00645161;LV1.120;7
LV1.120 Load 2;LV1.120 Bus 8;H0-C;0.003;0.001186;0.00322581;LV1.120;7
LV1.120 Load 3;LV1.120 Bus 14;L1-A;0.005;0.001976;0.00537634;LV1.120;7
LV1.120 Load 4;LV1.120 Bus 13;H0-B;0.002;0.00079;0.00215054;LV1.120;7
LV1.120 Load 5;LV1.120 Bus 9;L2-A;0.004;0.001581;0.00430108;LV1.120;7
LV1.120 Load 6;LV1.120 Bus 6;L1-A;0.003;0.001186;0.00322581;LV1.120;7
LV1.120 Load 7;LV1.120 Bus 3;L1-A;0.008;0.003162;0.00860215;LV1.120;7
LV1.120 Load 8;LV1.120 Bus 1;L2-A;0.014;0.005533;0.0150538;LV1.120;7
LV1.120 Load 9;LV1.120 Bus 7;L2-A;0.003;0.001186;0.00322581;LV1.120;7
LV1.120 Load 10;LV1.120 Bus 12;L1-A;0.012;0.004743;0.0129032;LV1.120;7
LV1.120 Load 11;LV1.120 Bus 11;H0-A;0.002;0.00079;0.00215054;LV1.120;7
LV1.120 Load 12;LV1.120 Bus 2;L1-A;0.004;0.001581;0.00430108;LV1.120;7
LV1.120 Load 13;LV1.120 Bus 5;L2-A;0.014;0.005533;0.0150538;LV1.120;7
LV1.121 Load 1;LV1.121 Bus 10;L2-A;0.006;0.002371;0.00645161;LV1.121;7
LV1.121 Load 2;LV1.121 Bus 8;H0-C;0.003;0.001186;0.00322581;LV1.121;7
LV1.121 Load 3;LV1.121 Bus 14;L1-A;0.005;0.001976;0.00537634;LV1.121;7
LV1.121 Load 4;LV1.121 Bus 13;H0-B;0.002;0.00079;0.00215054;LV1.121;7
LV1.121 Load 5;LV1.121 Bus 9;L2-A;0.004;0.001581;0.00430108;LV1.121;7
LV1.121 Load 6;LV1.121 Bus 6;L1-A;0.003;0.001186;0.00322581;LV1.121;7
LV1.121 Load 7;LV1.121 Bus 3;L1-A;0.008;0.003162;0.00860215;LV1.121;7
LV1.121 Load 8;LV1.121 Bus 1;L2-A;0.014;0.005533;0.0150538;LV1.121;7
LV1.121 Load 9;LV1.121 Bus 7;L2-A;0.003;0.001186;0.00322581;LV1.121;7
LV1.121 Load 10;LV1.121 Bus 12;L1-A;0.012;0.004743;0.0129032;LV1.121;7
LV1.121 Load 11;LV1.121 Bus 11;H0-A;0.002;0.00079;0.00215054;LV1.121;7
LV1.121 Load 12;LV1.121 Bus 2;L1-A;0.004;0.001581;0.00430108;LV1.121;7
LV1.121 Load 13;LV1.121 Bus 5;L2-A;0.014;0.005533;0.0150538;LV1.121;7
