node;vm;va;substation;subnet;voltLvl
LV1.108 Bus 7;1.0123;2.46206;NULL;LV1.108;7
LV1.108 Bus 8;1.01297;2.41939;NULL;LV1.108;7
LV1.108 Bus 9;1.01308;2.42742;NULL;LV1.108;7
LV1.108 Bus 10;1.01369;2.455;NULL;LV1.108;7
LV1.108 Bus 11;1.0142;2.45485;NULL;LV1.108;7
LV1.108 Bus 12;1.01219;2.4621;NULL;LV1.108;7
LV1.108 Bus 13;1.01429;2.45712;NULL;LV1.108;7
LV1.108 Bus 14;1.01045;2.46259;NULL;LV1.108;7
LV1.109 Bus 1;1.01581;2.3965;NULL;LV1.109;7
LV1.109 Bus 2;1.01877;2.40613;NULL;LV1.109;7
LV1.109 Bus 3;1.01908;2.44503;NULL;LV1.109;7
LV1.109 Bus 4;1.01853;2.39572;NULL;LV1.109;7
LV1.109 Bus 5;1.01303;2.45336;NULL;LV1.109;7
LV1.109 Bus 6;1.01308;2.45334;NULL;LV1.109;7
LV1.109 Bus 7;1.01835;2.45182;NULL;LV1.109;7
LV1.109 Bus 8;1.01902;2.40965;NULL;LV1.109;7
LV1.109 Bus 9;1.01913;2.41759;NULL;LV1.109;7
LV1.109 Bus 10;1.01974;2.44484;NULL;LV1.109;7
LV1.109 Bus 11;1.02024;2.44469;NULL;LV1.109;7
LV1.109 Bus 12;1.01825;2.45185;NULL;LV1.109;7
LV1.109 Bus 13;1.02034;2.44693;NULL;LV1.109;7
LV1.109 Bus 14;1.01651;2.45234;NULL;LV1.109;7
LV1.110 Bus 1;1.01937;2.52464;NULL;LV1.110;7
LV1.110 Bus 2;1.02232;2.53421;NULL;LV1.110;7
LV1.110 Bus 3;1.02263;2.57283;NULL;LV1.110;7
LV1.110 Bus 4;1.02208;2.52386;NULL;LV1.110;7
LV1.110 Bus 5;1.0166;2.5811;NULL;LV1.110;7
LV1.110 Bus 6;1.01665;2.58109;NULL;LV1.110;7
LV1.110 Bus 7;1.02191;2.57958;NULL;LV1.110;7
LV1.110 Bus 8;1.02257;2.5377;NULL;LV1.110;7
LV1.110 Bus 9;1.02268;2.54558;NULL;LV1.110;7
LV1.110 Bus 10;1.02328;2.57264;NULL;LV1.110;7
LV1.110 Bus 11;1.02379;2.5725;NULL;LV1.110;7
LV1.110 Bus 12;1.0218;2.57961;NULL;LV1.110;7
LV1.110 Bus 13;1.02388;2.57473;NULL;LV1.110;7
LV1.110 Bus 14;1.02007;2.58009;NULL;LV1.110;7
LV1.111 Bus 1;1.02112;2.57969;NULL;LV1.111;7
LV1.111 Bus 2;1.02406;2.58922;NULL;LV1.111;7
LV1.111 Bus 3;1.02438;2.62772;NULL;LV1.111;7
LV1.111 Bus 4;1.02383;2.57891;NULL;LV1.111;7
LV1.111 Bus 5;1.01836;2.63596;NULL;LV1.111;7
LV1.111 Bus 6;1.01841;2.63594;NULL;LV1.111;7
LV1.111 Bus 7;1.02365;2.63444;NULL;LV1.111;7
LV1.111 Bus 8;1.02432;2.5927;NULL;LV1.111;7
LV1.111 Bus 9;1.02443;2.60056;NULL;LV1.111;7
LV1.111 Bus 10;1.02503;2.62753;NULL;LV1.111;7
LV1.111 Bus 11;1.02553;2.62738;NULL;LV1.111;7
LV1.111 Bus 12;1.02355;2.63447;NULL;LV1.111;7
LV1.111 Bus 13;1.02562;2.6296;NULL;LV1.111;7
LV1.111 Bus 14;1.02182;2.63495;NULL;LV1.111;7
LV1.112 Bus 1;1.01963;2.53966;NULL;LV1.112;7
LV1.112 Bus 2;1.02258;2.54921;NULL;LV1.112;7
LV1.112 Bus 3;1.0229;2.58782;NULL;LV1.112;7
LV1.112 Bus 4;1.02235;2.53888;NULL;LV1.112;7
LV1.112 Bus 5;1.01686;2.59608;NULL;LV1.112;7
LV1.112 Bus 6;1.01692;2.59607;NULL;LV1.112;7
LV1.112 Bus 7;1.02217;2.59456;NULL;LV1.112;7
LV1.112 Bus 8;1.02284;2.5527;NULL;LV1.112;7
LV1.112 Bus 9;1.02294;2.56058;NULL;LV1.112;7
LV1.112 Bus 10;1.02355;2.58763;NULL;LV1.112;7
LV1.112 Bus 11;1.02405;2.58749;NULL;LV1.112;7
LV1.112 Bus 12;1.02206;2.59459;NULL;LV1.112;7
LV1.112 Bus 13;1.02414;2.58971;NULL;LV1.112;7
LV1.112 Bus 14;1.02034;2.59508;NULL;LV1.112;7
LV1.113 Bus 1;1.00967;2.27396;NULL;LV1.113;7
LV1.113 Bus 2;1.01265;2.2837;NULL;LV1.113;7
LV1.113 Bus 3;1.01297;2.32307;NULL;LV1.113;7
LV1.113 Bus 4;1.01241;2.27316;NULL;LV1.113;7
LV1.113 Bus 5;1.00687;2.3315;NULL;LV1.113;7
LV1.113 Bus 6;1.00693;2.33149;NULL;LV1.113;7
LV1.113 Bus 7;1.01223;2.32995;NULL;LV1.113;7
LV1.113 Bus 8;1.0129;2.28726;NULL;LV1.113;7
LV1.113 Bus 9;1.01301;2.2953;NULL;LV1.113;7
LV1.113 Bus 10;1.01362;2.32288;NULL;LV1.113;7
LV1.113 Bus 11;1.01413;2.32273;NULL;LV1.113;7
LV1.113 Bus 12;1.01212;2.32998;NULL;LV1.113;7
LV1.113 Bus 13;1.01423;2.325;NULL;LV1.113;7
LV1.113 Bus 14;1.01038;2.33047;NULL;LV1.113;7
LV1.114 Bus 1;1.01653;2.4767;NULL;LV1.114;7
LV1.114 Bus 2;1.01948;2.48631;NULL;LV1.114;7
LV1.114 Bus 3;1.0198;2.52516;NULL;LV1.114;7
LV1.114 Bus 4;1.01925;2.47592;NULL;LV1.114;7
LV1.114 Bus 5;1.01375;2.53347;NULL;LV1.114;7
LV1.114 Bus 6;1.0138;2.53346;NULL;LV1.114;7
LV1.114 Bus 7;1.01907;2.53194;NULL;LV1.114;7
LV1.114 Bus 8;1.01974;2.48983;NULL;LV1.114;7
LV1.114 Bus 9;1.01984;2.49775;NULL;LV1.114;7
LV1.114 Bus 10;1.02045;2.52497;NULL;LV1.114;7
LV1.114 Bus 11;1.02096;2.52482;NULL;LV1.114;7
LV1.114 Bus 12;1.01896;2.53197;NULL;LV1.114;7
LV1.114 Bus 13;1.02105;2.52706;NULL;LV1.114;7
LV1.114 Bus 14;1.01723;2.53246;NULL;LV1.114;7
LV1.115 Bus 1;1.01746;2.5042;NULL;LV1.115;7
LV1.115 Bus 2;1.02042;2.5138;NULL;LV1.115;7
LV1.115 Bus 3;1.02073;2.55257;NULL;LV1.115;7
LV1.115 Bus 4;1.02018;2.50342;NULL;LV1.115;7
LV1.115 Bus 5;1.01469;2.56087;NULL;LV1.115;7
LV1.115 Bus 6;1.01474;2.56085;NULL;LV1.115;7
LV1.115 Bus 7;1.02;2.55934;NULL;LV1.115;7
LV1.115 Bus 8;1.02067;2.51731;NULL;LV1.115;7
LV1.115 Bus 9;1.02078;2.52521;NULL;LV1.115;7
LV1.115 Bus 10;1.02138;2.55238;NULL;LV1.115;7
LV1.115 Bus 11;1.02189;2.55223;NULL;LV1.115;7
LV1.115 Bus 12;1.0199;2.55937;NULL;LV1.115;7
LV1.115 Bus 13;1.02198;2.55447;NULL;LV1.115;7
LV1.115 Bus 14;1.01817;2.55986;NULL;LV1.115;7
LV1.116 Bus 1;1.02805;2.78991;NULL;LV1.116;7
LV1.116 Bus 2;1.03098;2.79932;NULL;LV1.116;7
LV1.116 Bus 3;1.03129;2.8373;NULL;LV1.116;7
LV1.116 Bus 4;1.03074;2.78915;NULL;LV1.116;7
LV1.116 Bus 5;1.02531;2.84543;NULL;LV1.116;7
LV1.116 Bus 6;1.02536;2.84541;NULL;LV1.116;7
LV1.116 Bus 7;1.03057;2.84393;NULL;LV1.116;7
LV1.116 Bus 8;1.03123;2.80275;NULL;LV1.116;7
LV1.116 Bus 9;1.03133;2.8105;NULL;LV1.116;7
LV1.116 Bus 10;1.03193;2.83711;NULL;LV1.116;7
LV1.116 Bus 11;1.03243;2.83697;NULL;LV1.116;7
LV1.116 Bus 12;1.03046;2.84396;NULL;LV1.116;7
LV1.116 Bus 13;1.03253;2.83916;NULL;LV1.116;7
LV1.116 Bus 14;1.02875;2.84444;NULL;LV1.116;7
LV1.117 Bus 1;1.03162;2.84372;NULL;LV1.117;7
LV1.117 Bus 2;1.03453;2.85306;NULL;LV1.117;7
LV1.117 Bus 3;1.03484;2.89078;NULL;LV1.117;7
LV1.117 Bus 4;1.0343;2.84296;NULL;LV1.117;7
LV1.117 Bus 5;1.02888;2.89885;NULL;LV1.117;7
LV1.117 Bus 6;1.02893;2.89883;NULL;LV1.117;7
LV1.117 Bus 7;1.03412;2.89736;NULL;LV1.117;7
LV1.117 Bus 8;1.03478;2.85647;NULL;LV1.117;7
LV1.117 Bus 9;1.03489;2.86416;NULL;LV1.117;7
LV1.117 Bus 10;1.03548;2.89059;NULL;LV1.117;7
LV1.117 Bus 11;1.03598;2.89045;NULL;LV1.117;7
LV1.117 Bus 12;1.03402;2.89739;NULL;LV1.117;7
LV1.117 Bus 13;1.03608;2.89263;NULL;LV1.117;7
LV1.117 Bus 14;1.03231;2.89787;NULL;LV1.117;7
LV1.118 Bus 1;1.03254;2.86171;NULL;LV1.118;7
LV1.118 Bus 2;1.03545;2.87103;NULL;LV1.118;7
LV1.118 Bus 3;1.03576;2.90869;NULL;LV1.118;7
LV1.118 Bus 4;1.03521;2.86095;NULL;LV1.118;7
LV1.118 Bus 5;1.0298;2.91675;NULL;LV1.118;7
LV1.118 Bus 6;1.02985;2.91673;NULL;LV1.118;7
LV1.118 Bus 7;1.03504;2.91526;NULL;LV1.118;7
LV1.118 Bus 8;1.0357;2.87444;NULL;LV1.118;7
LV1.118 Bus 9;1.0358;2.88212;NULL;LV1.118;7
LV1.118 Bus 10;1.0364;2.90851;NULL;LV1.118;7
LV1.118 Bus 11;1.0369;2.90837;NULL;LV1.118;7
LV1.118 Bus 12;1.03493;2.91529;NULL;LV1.118;7
LV1.118 Bus 13;1.03699;2.91053;NULL;LV1.118;7
LV1.118 Bus 14;1.03323;2.91576;NULL;LV1.118;7
LV1.119 Bus 1;1.03277;2.86624;NULL;LV1.119;7
LV1.119 Bus 2;1.03567;2.87556;NULL;LV1.119;7
LV1.119 Bus 3;1.03599;2.9132;NULL;LV1.119;7
LV1.119 Bus 4;1.03544;2.86549;NULL;LV1.119;7
LV1.119 Bus 5;1.03003;2.92125;NULL;LV1.119;7
LV1.119 Bus 6;1.03008;2.92124;NULL;LV1.119;7
LV1.119 Bus 7;1.03527;2.91977;NULL;LV1.119;7
LV1.119 Bus 8;1.03593;2.87897;NULL;LV1.119;7
LV1.119 Bus 9;1.03603;2.88664;NULL;LV1.119;7
LV1.119 Bus 10;1.03663;2.91302;NULL;LV1.119;7
LV1.119 Bus 11;1.03713;2.91288;NULL;LV1.119;7
LV1.119 Bus 12;1.03516;2.9198;NULL;LV1.119;7
LV1.119 Bus 13;1.03722;2.91504;NULL;LV1.119;7
LV1.119 Bus 14;1.03346;2.92027;NULL;LV1.119;7
LV1.120 Bus 1;1.03283;2.86831;NULL;LV1.120;7
LV1.120 Bus 2;1.03573;2.87763;NULL;LV1.120;7
LV1.120 Bus 3;1.03605;2.91526;NULL;LV1.120;7
LV1.120 Bus 4;1.0355;2.86755;NULL;LV1.120;7
LV1.120 Bus 5;1.03009;2.92332;NULL;LV1.120;7
LV1.120 Bus 6;1.03014;2.9233;NULL;LV1.120;7
LV1.120 Bus 7;1.03533;2.92183;NULL;LV1.120;7
LV1.120 Bus 8;1.03599;2.88103;NULL;LV1.120;7
LV1.120 Bus 9;1.03609;2.88871;NULL;LV1.120;7
LV1.120 Bus 10;1.03669;2.91508;NULL;LV1.120;7
LV1.120 Bus 11;1.03719;2.91494;NULL;LV1.120;7
LV1.120 Bus 12;1.03522;2.92186;NULL;LV1.120;7
LV1.120 Bus 13;1.03728;2.91711;NULL;LV1.120;7
LV1.120 Bus 14;1.03352;2.92233;NULL;LV1.120;7
LV1.121 Bus 1;1.01039;2.38927;NULL;LV1.121;7
LV1.121 Bus 2;1.01336;2.399;NULL;LV1.121;7
LV1.121 Bus 3;1.01368;2.43831;NULL;LV1.121;7
LV1.121 Bus 4;1.01312;2.38847;NULL;LV1.121;7
LV1.121 Bus 5;1.00759;2.44673;NULL;LV1.121;7
LV1.121 Bus 6;1.00765;2.44672;NULL;LV1.121;7
LV1.121 Bus 7;1.01295;2.44518;NULL;LV1.121;7
LV1.121 Bus 8;1.01362;2.40256;NULL;LV1.121;7
LV1.121 Bus 9;1.01373;2.41058;NULL;LV1.121;7
LV1.121 Bus 10;1.01434;2.43812;NULL;LV1.121;7
LV1.121 Bus 11;1.01485;2.43797;NULL;LV1.121;7
LV1.121 Bus 12;1.01284;2.44521;NULL;LV1.121;7
LV1.121 Bus 13;1.01494;2.44024;NULL;LV1.121;7
LV1.121 Bus 14;1.0111;2.4457;NULL;LV1.121;7
LV1.122 Bus 1;1.00365;2.85031;NULL;LV1.122;7
LV1.122 Bus 2;1.00664;2.86017;NULL;LV1.122;7
LV1.122 Bus 3;1.00696;2.90001;NULL;LV1.122;7
LV1.122 Bus 4;1.0064;2.84951;NULL;LV1.122;7
LV1.122 Bus 5;1.00083;2.90855;NULL;LV1.122;7
LV1.122 Bus 6;1.00089;2.90853;NULL;LV1.122;7
LV1.122 Bus 7;1.00622;2.90697;NULL;LV1.122;7
LV1.122 Bus 8;1.0069;2.86378;NULL;LV1.122;7
LV1.122 Bus 9;1.00701;2.87191;NULL;LV1.122;7
LV1.122 Bus 10;1.00762;2.89982;NULL;LV1.122;7
LV1.122 Bus 11;1.00813;2.89967;NULL;LV1.122;7
LV1.122 Bus 12;1.00611;2.907;NULL;LV1.122;7
LV1.122 Bus 13;1.00823;2.90196;NULL;LV1.122;7
LV1.122 Bus 14;1.00436;2.90751;NULL;LV1.122;7
LV1.123 Bus 1;1.00253;2.87533;NULL;LV1.123;7
LV1.123 Bus 2;1.00553;2.88521;NULL;LV1.123;7
LV1.123 Bus 3;1.00585;2.92514;NULL;LV1.123;7
LV1.123 Bus 4;1.00529;2.87452;NULL;LV1.123;7
LV1.123 Bus 5;0.999716;2.93369;NULL;LV1.123;7
LV1.123 Bus 6;0.99977;2.93368;NULL;LV1.123;7
LV1.123 Bus 7;1.00511;2.93211;NULL;LV1.123;7
LV1.123 Bus 8;1.00579;2.88883;NULL;LV1.123;7
LV1.123 Bus 9;1.0059;2.89697;NULL;LV1.123;7
LV1.123 Bus 10;1.00651;2.92494;NULL;LV1.123;7
LV1.123 Bus 11;1.00703;2.92479;NULL;LV1.123;7
LV1.123 Bus 12;1.005;2.93215;NULL;LV1.123;7
LV1.123 Bus 13;1.00712;2.92709;NULL;LV1.123;7
LV1.123 Bus 14;1.00325;2.93265;NULL;LV1.123;7
LV1.124 Bus 1;0.998846;2.91734;NULL;LV1.124;7
LV1.124 Bus 2;1.00185;2.9273;NULL;LV1.124;7
LV1.124 Bus 3;1.00217;2.96752;NULL;LV1.124;7
LV1.124 Bus 4;1.00161;2.91653;NULL;LV1.124;7
LV1.124 Bus 5;0.996017;2.97614;NULL;LV1.124;7
LV1.124 Bus 6;0.996071;2.97612;NULL;LV1.124;7
LV1.124 Bus 7;1.00143;2.97455;NULL;LV1.124;7
LV1.124 Bus 8;1.00211;2.93094;NULL;LV1.124;7
LV1.124 Bus 9;1.00222;2.93914;NULL;LV1.124;7
LV1.124 Bus 10;1.00284;2.96732;NULL;LV1.124;7
LV1.124 Bus 11;1.00335;2.96717;NULL;LV1.124;7
LV1.124 Bus 12;1.00132;2.97458;NULL;LV1.124;7
LV1.124 Bus 13;1.00345;2.96949;NULL;LV1.124;7
LV1.124 Bus 14;0.999561;2.97509;NULL;LV1.124;7
LV1.125 Bus 1;0.997844;2.92405;NULL;LV1.125;7
LV1.125 Bus 2;1.00085;2.93402;NULL;LV1.125;7
LV1.125 Bus 3;1.00118;2.97432;NULL;LV1.125;7
LV1.125 Bus 4;1.00061;2.92323;NULL;LV1.125;7
LV1.125 Bus 5;0.995012;2.98296;NULL;LV1.125;7
LV1.125 Bus 6;0.995066;2.98294;NULL;LV1.125;7
LV1.125 Bus 7;1.00043;2.98136;NULL;LV1.125;7
LV1.125 Bus 8;1.00111;2.93767;NULL;LV1.125;7
LV1.125 Bus 9;1.00122;2.94589;NULL;LV1.125;7
LV1.125 Bus 10;1.00184;2.97413;NULL;LV1.125;7
LV1.125 Bus 11;1.00236;2.97397;NULL;LV1.125;7
LV1.125 Bus 12;1.00032;2.9814;NULL;LV1.125;7
LV1.125 Bus 13;1.00245;2.9763;NULL;LV1.125;7
LV1.125 Bus 14;0.99856;2.9819;NULL;LV1.125;7
LV1.126 Bus 1;1.00758;2.80464;NULL;LV1.126;7
LV1.126 Bus 2;1.01056;2.81442;NULL;LV1.126;7
LV1.126 Bus 3;1.01088;2.85396;NULL;LV1.126;7
LV1.126 Bus 4;1.01033;2.80384;NULL;LV1.126;7
LV1.126 Bus 5;1.00478;2.86242;NULL;LV1.126;7
LV1.126 Bus 6;1.00483;2.86241;NULL;LV1.126;7
LV1.126 Bus 7;1.01015;2.86086;NULL;LV1.126;7
LV1.126 Bus 8;1.01082;2.818;NULL;LV1.126;7
LV1.126 Bus 9;1.01093;2.82607;NULL;LV1.126;7
LV1.126 Bus 10;1.01154;2.85376;NULL;LV1.126;7
LV1.126 Bus 11;1.01205;2.85361;NULL;LV1.126;7
LV1.126 Bus 12;1.01004;2.86089;NULL;LV1.126;7
LV1.126 Bus 13;1.01215;2.85589;NULL;LV1.126;7
LV1.126 Bus 14;1.00829;2.86139;NULL;LV1.126;7
LV1.127 Bus 1;1.00323;2.47999;NULL;LV1.127;7
LV1.127 Bus 2;1.00623;2.48986;NULL;LV1.127;7
LV1.127 Bus 3;1.00655;2.52973;NULL;LV1.127;7
LV1.127 Bus 4;1.00599;2.47919;NULL;LV1.127;7
LV1.127 Bus 5;1.00042;2.53828;NULL;LV1.127;7
LV1.127 Bus 6;1.00047;2.53826;NULL;LV1.127;7
LV1.127 Bus 7;1.00581;2.5367;NULL;LV1.127;7
LV1.127 Bus 8;1.00649;2.49347;NULL;LV1.127;7
LV1.127 Bus 9;1.0066;2.5016;NULL;LV1.127;7
LV1.127 Bus 10;1.00721;2.52954;NULL;LV1.127;7
LV1.127 Bus 11;1.00772;2.52939;NULL;LV1.127;7
LV1.127 Bus 12;1.0057;2.53673;NULL;LV1.127;7
LV1.127 Bus 13;1.00782;2.53169;NULL;LV1.127;7
LV1.127 Bus 14;1.00395;2.53723;NULL;LV1.127;7
LV1.128 Bus 1;1.00344;2.48314;NULL;LV1.128;7
LV1.128 Bus 2;1.00644;2.49301;NULL;LV1.128;7
LV1.128 Bus 3;1.00676;2.53286;NULL;LV1.128;7
LV1.128 Bus 4;1.0062;2.48234;NULL;LV1.128;7
LV1.128 Bus 5;1.00063;2.5414;NULL;LV1.128;7
LV1.128 Bus 6;1.00068;2.54138;NULL;LV1.128;7
LV1.128 Bus 7;1.00602;2.53982;NULL;LV1.128;7
LV1.128 Bus 8;1.0067;2.49661;NULL;LV1.128;7
LV1.128 Bus 9;1.0068;2.50474;NULL;LV1.128;7
LV1.128 Bus 10;1.00742;2.53267;NULL;LV1.128;7
LV1.128 Bus 11;1.00793;2.53252;NULL;LV1.128;7
LV1.128 Bus 12;1.00591;2.53986;NULL;LV1.128;7
LV1.128 Bus 13;1.00802;2.53481;NULL;LV1.128;7
LV1.128 Bus 14;1.00416;2.54036;NULL;LV1.128;7
LV1.129 Bus 1;1.00362;2.48686;NULL;LV1.129;7
LV1.129 Bus 2;1.00661;2.49672;NULL;LV1.129;7
LV1.129 Bus 3;1.00693;2.53657;NULL;LV1.129;7
LV1.129 Bus 4;1.00637;2.48606;NULL;LV1.129;7
LV1.129 Bus 5;1.00081;2.5451;NULL;LV1.129;7
LV1.129 Bus 6;1.00086;2.54508;NULL;LV1.129;7
LV1.129 Bus 7;1.0062;2.54352;NULL;LV1.129;7
LV1.129 Bus 8;1.00687;2.50033;NULL;LV1.129;7
LV1.129 Bus 9;1.00698;2.50846;NULL;LV1.129;7
LV1.129 Bus 10;1.00759;2.53637;NULL;LV1.129;7
LV1.129 Bus 11;1.00811;2.53622;NULL;LV1.129;7
LV1.129 Bus 12;1.00609;2.54356;NULL;LV1.129;7
LV1.129 Bus 13;1.0082;2.53852;NULL;LV1.129;7
LV1.129 Bus 14;1.00433;2.54406;NULL;LV1.129;7
LV1.130 Bus 1;1.00834;2.41228;NULL;LV1.130;7
LV1.130 Bus 2;1.01132;2.42204;NULL;LV1.130;7
LV1.130 Bus 3;1.01164;2.46152;NULL;LV1.130;7
LV1.130 Bus 4;1.01108;2.41148;NULL;LV1.130;7
