id;type;vmSetp;vaSetp;vmR;vmMin;vmMax;substation;coordID;subnet;voltLvl
LV1.102 Bus 7;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_20;LV1.102;7
LV1.102 Bus 8;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_21;LV1.102;7
LV1.102 Bus 9;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_22;LV1.102;7
LV1.102 Bus 10;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_23;LV1.102;7
LV1.102 Bus 11;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_24;LV1.102;7
LV1.102 Bus 12;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_25;LV1.102;7
LV1.102 Bus 13;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_26;LV1.102;7
LV1.102 Bus 14;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_27;LV1.102;7
LV1.103 Bus 1;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_28;LV1.103;7
LV1.103 Bus 2;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_29;LV1.103;7
LV1.103 Bus 3;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_30;LV1.103;7
LV1.103 Bus 4;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_31;LV1.103;7
LV1.103 Bus 5;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_32;LV1.103;7
LV1.103 Bus 6;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_33;LV1.103;7
LV1.103 Bus 7;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_34;LV1.103;7
LV1.103 Bus 8;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_35;LV1.103;7
LV1.103 Bus 9;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_36;LV1.103;7
LV1.103 Bus 10;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_37;LV1.103;7
LV1.103 Bus 11;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_38;LV1.103;7
LV1.103 Bus 12;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_39;LV1.103;7
LV1.103 Bus 13;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_40;LV1.103;7
LV1.103 Bus 14;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_41;LV1.103;7
LV1.104 Bus 1;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_42;LV1.104;7
LV1.104 Bus 2;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_43;LV1.104;7
LV1.104 Bus 3;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_44;LV1.104;7
LV1.104 Bus 4;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_45;LV1.104;7
LV1.104 Bus 5;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_46;LV1.104;7
LV1.104 Bus 6;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_47;LV1.104;7
LV1.104 Bus 7;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_48;LV1.104;7
LV1.104 Bus 8;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_49;LV1.104;7
LV1.104 Bus 9;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_50;LV1.104;7
LV1.104 Bus 10;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_51;LV1.104;7
LV1.104 Bus 11;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_52;LV1.104;7
LV1.104 Bus 12;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_53;LV1.104;7
LV1.104 Bus 13;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_54;LV1.104;7
LV1.104 Bus 14;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_55;LV1.104;7
LV1.105 Bus 1;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_56;LV1.105;7
LV1.105 Bus 2;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_57;LV1.105;7
LV1.105 Bus 3;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_58;LV1.105;7
LV1.105 Bus 4;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_59;LV1.105;7
LV1.105 Bus 5;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_60;LV1.105;7
LV1.105 Bus 6;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_61;LV1.105;7
LV1.105 Bus 7;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_62;LV1.105;7
LV1.105 Bus 8;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_63;LV1.105;7
LV1.105 Bus 9;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_64;LV1.105;7
LV1.105 Bus 10;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_65;LV1.105;7
LV1.105 Bus 11;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_66;LV1.105;7
LV1.105 Bus 12;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_67;LV1.105;7
LV1.105 Bus 13;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_68;LV1.105;7
LV1.105 Bus 14;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_69;LV1.105;7
LV1.106 Bus 1;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_70;LV1.106;7
LV1.106 Bus 2;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_71;LV1.106;7
LV1.106 Bus 3;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_72;LV1.106;7
LV1.106 Bus 4;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_73;LV1.106;7
LV1.106 Bus 5;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_74;LV1.106;7
LV1.106 Bus 6;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_75;LV1.106;7
LV1.106 Bus 7;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_76;LV1.106;7
LV1.106 Bus 8;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_77;LV1.106;7
LV1.106 Bus 9;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_78;LV1.106;7
LV1.106 Bus 10;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_79;LV1.106;7
LV1.106 Bus 11;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_80;LV1.106;7
LV1.106 Bus 12;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_81;LV1.106;7
LV1.106 Bus 13;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_82;LV1.106;7
LV1.106 Bus 14;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_83;LV1.106;7
LV1.107 Bus 1;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_84;LV1.107;7
LV1.107 Bus 2;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_85;LV1.107;7
LV1.107 Bus 3;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_86;LV1.107;7
LV1.107 Bus 4;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_87;LV1.107;7
LV1.107 Bus 5;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_88;LV1.107;7
LV1.107 Bus 6;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_89;LV1.107;7
LV1.107 Bus 7;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_90;LV1.107;7
LV1.107 Bus 8;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_91;LV1.107;7
LV1.107 Bus 9;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_92;LV1.107;7
LV1.107 Bus 10;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_93;LV1.107;7
LV1.107 Bus 11;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_94;LV1.107;7
LV1.107 Bus 12;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_95;LV1.107;7
LV1.107 Bus 13;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_96;LV1.107;7
LV1.107 Bus 14;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_97;LV1.107;7
LV1.108 Bus 1;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_98;LV1.108;7
LV1.108 Bus 2;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_99;LV1.108;7
LV1.108 Bus 3;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_100;LV1.108;7
LV1.108 Bus 4;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_101;LV1.108;7
LV1.108 Bus 5;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_102;LV1.108;7
LV1.108 Bus 6;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_103;LV1.108;7
LV1.108 Bus 7;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_104;LV1.108;7
LV1.108 Bus 8;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_105;LV1.108;7
LV1.108 Bus 9;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_106;LV1.108;7
LV1.108 Bus 10;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_107;LV1.108;7
LV1.108 Bus 11;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_108;LV1.108;7
LV1.108 Bus 12;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_109;LV1.108;7
LV1.108 Bus 13;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_110;LV1.108;7
LV1.108 Bus 14;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_111;LV1.108;7
LV1.109 Bus 1;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_112;LV1.109;7
LV1.109 Bus 2;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_113;LV1.109;7
LV1.109 Bus 3;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_114;LV1.109;7
LV1.109 Bus 4;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_115;LV1.109;7
LV1.109 Bus 5;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_116;LV1.109;7
LV1.109 Bus 6;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_117;LV1.109;7
LV1.109 Bus 7;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_118;LV1.109;7
LV1.109 Bus 8;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_119;LV1.109;7
LV1.109 Bus 9;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_120;LV1.109;7
LV1.109 Bus 10;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_121;LV1.109;7
LV1.109 Bus 11;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_122;LV1.109;7
LV1.109 Bus 12;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_123;LV1.109;7
LV1.109 Bus 13;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_124;LV1.109;7
LV1.109 Bus 14;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_125;LV1.109;7
LV1.110 Bus 1;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_126;LV1.110;7
LV1.110 Bus 2;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_127;LV1.110;7
LV1.110 Bus 3;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_128;LV1.110;7
LV1.110 Bus 4;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_129;LV1.110;7
LV1.110 Bus 5;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_130;LV1.110;7
LV1.110 Bus 6;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_131;LV1.110;7
LV1.110 Bus 7;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_132;LV1.110;7
LV1.110 Bus 8;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_133;LV1.110;7
LV1.110 Bus 9;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_134;LV1.110;7
LV1.110 Bus 10;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_135;LV1.110;7
LV1.110 Bus 11;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_136;LV1.110;7
LV1.110 Bus 12;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_137;LV1.110;7
LV1.110 Bus 13;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_138;LV1.110;7
LV1.110 Bus 14;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_139;LV1.110;7
LV1.111 Bus 1;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_140;LV1.111;7
LV1.111 Bus 2;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_141;LV1.111;7
LV1.111 Bus 3;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_142;LV1.111;7
LV1.111 Bus 4;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_143;LV1.111;7
LV1.111 Bus 5;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_144;LV1.111;7
LV1.111 Bus 6;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_145;LV1.111;7
LV1.111 Bus 7;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_146;LV1.111;7
LV1.111 Bus 8;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_147;LV1.111;7
LV1.111 Bus 9;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_148;LV1.111;7
LV1.111 Bus 10;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_149;LV1.111;7
LV1.111 Bus 11;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_150;LV1.111;7
LV1.111 Bus 12;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_151;LV1.111;7
LV1.111 Bus 13;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_152;LV1.111;7
LV1.111 Bus 14;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_153;LV1.111;7
LV1.112 Bus 1;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_154;LV1.112;7
LV1.112 Bus 2;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_155;LV1.112;7
LV1.112 Bus 3;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_156;LV1.112;7
LV1.112 Bus 4;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_157;LV1.112;7
LV1.112 Bus 5;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_158;LV1.112;7
LV1.112 Bus 6;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_159;LV1.112;7
LV1.112 Bus 7;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_160;LV1.112;7
LV1.112 Bus 8;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_161;LV1.112;7
LV1.112 Bus 9;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_162;LV1.112;7
LV1.112 Bus 10;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_163;LV1.112;7
LV1.112 Bus 11;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_164;LV1.112;7
LV1.112 Bus 12;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_165;LV1.112;7
LV1.112 Bus 13;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_166;LV1.112;7
LV1.112 Bus 14;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_167;LV1.112;7
LV1.113 Bus 1;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_168;LV1.113;7
LV1.113 Bus 2;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_169;LV1.113;7
LV1.113 Bus 3;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_170;LV1.113;7
LV1.113 Bus 4;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_171;LV1.113;7
LV1.113 Bus 5;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_172;LV1.113;7
LV1.113 Bus 6;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_173;LV1.113;7
LV1.113 Bus 7;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_174;LV1.113;7
LV1.113 Bus 8;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_175;LV1.113;7
LV1.113 Bus 9;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_176;LV1.113;7
LV1.113 Bus 10;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_177;LV1.113;7
LV1.113 Bus 11;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_178;LV1.113;7
LV1.113 Bus 12;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_179;LV1.113;7
LV1.113 Bus 13;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_180;LV1.113;7
LV1.113 Bus 14;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_181;LV1.113;7
LV1.114 Bus 1;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_182;LV1.114;7
LV1.114 Bus 2;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_183;LV1.114;7
LV1.114 Bus 3;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_184;LV1.114;7
LV1.114 Bus 4;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_185;LV1.114;7
LV1.114 Bus 5;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_186;LV1.114;7
LV1.114 Bus 6;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_187;LV1.114;7
LV1.114 Bus 7;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_188;LV1.114;7
LV1.114 Bus 8;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_189;LV1.114;7
LV1.114 Bus 9;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_190;LV1.114;7
LV1.114 Bus 10;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_191;LV1.114;7
LV1.114 Bus 11;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_192;LV1.114;7
LV1.114 Bus 12;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_193;LV1.114;7
LV1.114 Bus 13;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_194;LV1.114;7
LV1.114 Bus 14;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_195;LV1.114;7
LV1.115 Bus 1;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_196;LV1.115;7
LV1.115 Bus 2;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_197;LV1.115;7
LV1.115 Bus 3;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_198;LV1.115;7
LV1.115 Bus 4;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_199;LV1.115;7
LV1.115 Bus 5;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_200;LV1.115;7
LV1.115 Bus 6;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_201;LV1.115;7
LV1.115 Bus 7;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_202;LV1.115;7
LV1.115 Bus 8;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_203;LV1.115;7
LV1.115 Bus 9;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_204;LV1.115;7
LV1.115 Bus 10;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_205;LV1.115;7
LV1.115 Bus 11;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_206;LV1.115;7
LV1.115 Bus 12;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_207;LV1.115;7
LV1.115 Bus 13;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_208;LV1.115;7
LV1.115 Bus 14;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_209;LV1.115;7
LV1.116 Bus 1;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_210;LV1.116;7
LV1.116 Bus 2;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_211;LV1.116;7
LV1.116 Bus 3;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_212;LV1.116;7
LV1.116 Bus 4;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_213;LV1.116;7
LV1.116 Bus 5;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_214;LV1.116;7
LV1.116 Bus 6;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_215;LV1.116;7
LV1.116 Bus 7;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_216;LV1.116;7
LV1.116 Bus 8;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_217;LV1.116;7
LV1.116 Bus 9;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_218;LV1.116;7
LV1.116 Bus 10;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_219;LV1.116;7
LV1.116 Bus 11;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_220;LV1.116;7
LV1.116 Bus 12;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_221;LV1.116;7
LV1.116 Bus 13;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_222;LV1.116;7
LV1.116 Bus 14;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_223;LV1.116;7
LV1.117 Bus 1;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_224;LV1.117;7
LV1.117 Bus 2;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_225;LV1.117;7
LV1.117 Bus 3;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_226;LV1.117;7
LV1.117 Bus 4;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_227;LV1.117;7
LV1.117 Bus 5;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_228;LV1.117;7
LV1.117 Bus 6;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_229;LV1.117;7
LV1.117 Bus 7;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_230;LV1.117;7
LV1.117 Bus 8;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_231;LV1.117;7
LV1.117 Bus 9;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_232;LV1.117;7
LV1.117 Bus 10;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_233;LV1.117;7
LV1.117 Bus 11;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_234;LV1.117;7
LV1.117 Bus 12;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_235;LV1.117;7
LV1.117 Bus 13;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_236;LV1.117;7
LV1.117 Bus 14;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_237;LV1.117;7
LV1.118 Bus 1;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_238;LV1.118;7
LV1.118 Bus 2;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_239;LV1.118;7
LV1.118 Bus 3;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_240;LV1.118;7
LV1.118 Bus 4;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_241;LV1.118;7
LV1.118 Bus 5;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_242;LV1.118;7
LV1.118 Bus 6;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_243;LV1.118;7
LV1.118 Bus 7;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_244;LV1.118;7
LV1.118 Bus 8;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_245;LV1.118;7
LV1.118 Bus 9;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_246;LV1.118;7
LV1.118 Bus 10;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_247;LV1.118;7
LV1.118 Bus 11;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_248;LV1.118;7
LV1.118 Bus 12;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_249;LV1.118;7
LV1.118 Bus 13;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_250;LV1.118;7
LV1.118 Bus 14;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_251;LV1.118;7
LV1.119 Bus 1;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_252;LV1.119;7
LV1.119 Bus 2;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_253;LV1.119;7
LV1.119 Bus 3;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_254;LV1.119;7
LV1.119 Bus 4;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_255;LV1.119;7
LV1.119 Bus 5;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_256;LV1.119;7
LV1.119 Bus 6;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_257;LV1.119;7
LV1.119 Bus 7;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_258;LV1.119;7
LV1.119 Bus 8;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_259;LV1.119;7
LV1.119 Bus 9;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_260;LV1.119;7
LV1.119 Bus 10;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_261;LV1.119;7
