id;nodeA;nodeB;type;length;loadingMax;subnet;voltLvl
LV1.104 Line 7;LV1.104 Bus 4_2;LV1.104 Bus 8_2;NAYY 4x150SE 0.6/1kV;0.00514112;100;LV1.104;7
LV1.104 Line 8;LV1.104 Bus 12_2;LV1.104 Bus 7_2;NAYY 4x150SE 0.6/1kV;0.00214695;100;LV1.104;7
LV1.104 Line 9;LV1.104 Bus 6_1;LV1.104 Bus 14_2;NAYY 4x150SE 0.6/1kV;0.137215;100;LV1.104;7
LV1.104 Line 10;LV1.104 Bus 4_3;LV1.104 Bus 1_1;NAYY 4x150SE 0.6/1kV;0.132499;100;LV1.104;7
LV1.104 Line 12;LV1.104 Bus 2_2;LV1.104 Bus 4_4;NAYY 4x150SE 0.6/1kV;0.0162072;100;LV1.104;7
LV1.104 Line 13;LV1.104 Bus 13_1;LV1.104 Bus 9_2;NAYY 4x150SE 0.6/1kV;0.0460153;100;LV1.104;7
LV1.104 Line 11;LV1.104 Bus 5_1;LV1.104 Bus 6_2;NAYY 4x150SE 0.6/1kV;0.00258257;100;LV1.104;7
LV1.105 Line 1;LV1.105 Bus 10_1;LV1.105 Bus 3_1;NAYY 4x150SE 0.6/1kV;0.0557667;100;LV1.105;7
LV1.105 Line 2;LV1.105 Bus 14_1;LV1.105 Bus 12_1;NAYY 4x150SE 0.6/1kV;0.0535763;100;LV1.105;7
LV1.105 Line 3;LV1.105 Bus 7_1;LV1.105 Bus 4_1;NAYY 4x150SE 0.6/1kV;0.0498145;100;LV1.105;7
LV1.105 Line 4;LV1.105 Bus 9_1;LV1.105 Bus 2_1;NAYY 4x150SE 0.6/1kV;0.0178861;100;LV1.105;7
LV1.105 Line 5;LV1.105 Bus 8_1;LV1.105 Bus 11_1;NAYY 4x150SE 0.6/1kV;0.0160892;100;LV1.105;7
LV1.105 Line 6;LV1.105 Bus 11_2;LV1.105 Bus 10_2;NAYY 4x150SE 0.6/1kV;0.0247661;100;LV1.105;7
LV1.105 Line 7;LV1.105 Bus 4_2;LV1.105 Bus 8_2;NAYY 4x150SE 0.6/1kV;0.00514112;100;LV1.105;7
LV1.105 Line 8;LV1.105 Bus 12_2;LV1.105 Bus 7_2;NAYY 4x150SE 0.6/1kV;0.00214695;100;LV1.105;7
LV1.105 Line 9;LV1.105 Bus 6_1;LV1.105 Bus 14_2;NAYY 4x150SE 0.6/1kV;0.137215;100;LV1.105;7
LV1.105 Line 10;LV1.105 Bus 4_3;LV1.105 Bus 1_1;NAYY 4x150SE 0.6/1kV;0.132499;100;LV1.105;7
LV1.105 Line 12;LV1.105 Bus 2_2;LV1.105 Bus 4_4;NAYY 4x150SE 0.6/1kV;0.0162072;100;LV1.105;7
LV1.105 Line 13;LV1.105 Bus 13_1;LV1.105 Bus 9_2;NAYY 4x150SE 0.6/1kV;0.0460153;100;LV1.105;7
LV1.105 Line 11;LV1.105 Bus 5_1;LV1.105 Bus 6_2;NAYY 4x150SE 0.6/1kV;0.00258257;100;LV1.105;7
LV1.106 Line 1;LV1.106 Bus 10_1;LV1.106 Bus 3_1;NAYY 4x150SE 0.6/1kV;0.0557667;100;LV1.106;7
LV1.106 Line 2;LV1.106 Bus 14_1;LV1.106 Bus 12_1;NAYY 4x150SE 0.6/1kV;0.0535763;100;LV1.106;7
LV1.106 Line 3;LV1.106 Bus 7_1;LV1.106 Bus 4_1;NAYY 4x150SE 0.6/1kV;0.0498145;100;LV1.106;7
LV1.106 Line 4;LV1.106 Bus 9_1;LV1.106 Bus 2_1;NAYY 4x150SE 0.6/1kV;0.0178861;100;LV1.106;7
LV1.106 Line 5;LV1.106 Bus 8_1;LV1.106 Bus 11_1;NAYY 4x150SE 0.6/1kV;0.0160892;100;LV1.106;7
LV1.106 Line 6;LV1.106 Bus 11_2;LV1.106 Bus 10_2;NAYY 4x150SE 0.6/1kV;0.0247661;100;LV1.106;7
LV1.106 Line 7;LV1.106 Bus 4_2;LV1.106 Bus 8_2;NAYY 4x150SE 0.6/1kV;0.00514112;100;LV1.106;7
LV1.106 Line 8;LV1.106 Bus 12_2;LV1.106 Bus 7_2;NAYY 4x150SE 0.6/1kV;0.00214695;100;LV1.106;7
LV1.106 Line 9;LV1.106 Bus 6_1;LV1.106 Bus 14_2;NAYY 4x150SE 0.6/1kV;0.137215;100;LV1.106;7
LV1.106 Line 10;LV1.106 Bus 4_3;LV1.106 Bus 1_1;NAYY 4x150SE 0.6/1kV;0.132499;100;LV1.106;7
LV1.106 Line 12;LV1.106 Bus 2_2;LV1.106 Bus 4_4;NAYY 4x150SE 0.6/1kV;0.0162072;100;LV1.106;7
LV1.106 Line 13;LV1.106 Bus 13_1;LV1.106 Bus 9_2;NAYY 4x150SE 0.6/1kV;0.0460153;100;LV1.106;7
LV1.106 Line 11;LV1.106 Bus 5_1;LV1.106 Bus 6_2;NAYY 4x150SE 0.6/1kV;0.00258257;100;LV1.106;7
LV1.107 Line 1;LV1.107 Bus 10_1;LV1.107 Bus 3_1;NAYY 4x150SE 0.6/1kV;0.0557667;100;LV1.107;7
LV1.107 Line 2;LV1.107 Bus 14_1;LV1.107 Bus 12_1;NAYY 4x150SE 0.6/1kV;0.0535763;100;LV1.107;7
LV1.107 Line 3;LV1.107 Bus 7_1;LV1.107 Bus 4_1;NAYY 4x150SE 0.6/1kV;0.0498145;100;LV1.107;7
LV1.107 Line 4;LV1.107 Bus 9_1;LV1.107 Bus 2_1;NAYY 4x150SE 0.6/1kV;0.0178861;100;LV1.107;7
LV1.107 Line 5;LV1.107 Bus 8_1;LV1.107 Bus 11_1;NAYY 4x150SE 0.6/1kV;0.0160892;100;LV1.107;7
LV1.107 Line 6;LV1.107 Bus 11_2;LV1.107 Bus 10_2;NAYY 4x150SE 0.6/1kV;0.0247661;100;LV1.107;7
LV1.107 Line 7;LV1.107 Bus 4_2;LV1.107 Bus 8_2;NAYY 4x150SE 0.6/1kV;0.00514112;100;LV1.107;7
LV1.107 Line 8;LV1.107 Bus 12_2;LV1.107 Bus 7_2;NAYY 4x150SE 0.6/1kV;0.00214695;100;LV1.107;7
LV1.107 Line 9;LV1.107 Bus 6_1;LV1.107 Bus 14_2;NAYY 4x150SE 0.6/1kV;0.137215;100;LV1.107;7
LV1.107 Line 10;LV1.107 Bus 4_3;LV1.107 Bus 1_1;NAYY 4x150SE 0.6/1kV;0.132499;100;LV1.107;7
LV1.107 Line 12;LV1.107 Bus 2_2;LV1.107 Bus 4_4;NAYY 4x150SE 0.6/1kV;0.0162072;100;LV1.107;7
LV1.107 Line 13;LV1.107 Bus 13_1;LV1.107 Bus 9_2;NAYY 4x150SE 0.6/1kV;0.0460153;100;LV1.107;7
LV1.107 Line 11;LV1.107 Bus 5_1;LV1.107 Bus 6_2;NAYY 4x150SE 0.6/1kV;0.00258257;100;LV1.107;7
LV1.108 Line 1;LV1.108 Bus 10_1;LV1.108 Bus 3_1;NAYY 4x150SE 0.6/1kV;0.0557667;100;LV1.108;7
LV1.108 Line 2;LV1.108 Bus 14_1;LV1.108 Bus 12_1;NAYY 4x150SE 0.6/1kV;0.0535763;100;LV1.108;7
LV1.108 Line 3;LV1.108 Bus 7_1;LV1.108 Bus 4_1;NAYY 4x150SE 0.6/1kV;0.0498145;100;LV1.108;7
LV1.108 Line 4;LV1.108 Bus 9_1;LV1.108 Bus 2_1;NAYY 4x150SE 0.6/1kV;0.0178861;100;LV1.108;7
LV1.108 Line 5;LV1.108 Bus 8_1;LV1.108 Bus 11_1;NAYY 4x150SE 0.6/1kV;0.0160892;100;LV1.108;7
LV1.108 Line 6;LV1.108 Bus 11_2;LV1.108 Bus 10_2;NAYY 4x150SE 0.6/1kV;0.0247661;100;LV1.108;7
LV1.108 Line 7;LV1.108 Bus 4_2;LV1.108 Bus 8_2;NAYY 4x150SE 0.6/1kV;0.00514112;100;LV1.108;7
LV1.108 Line 8;LV1.108 Bus 12_2;LV1.108 Bus 7_2;NAYY 4x150SE 0.6/1kV;0.00214695;100;LV1.108;7
LV1.108 Line 9;LV1.108 Bus 6_1;LV1.108 Bus 14_2;NAYY 4x150SE 0.6/1kV;0.137215;100;LV1.108;7
LV1.108 Line 10;LV1.108 Bus 4_3;LV1.108 Bus 1_1;NAYY 4x150SE 0.6/1kV;0.132499;100;LV1.108;7
LV1.108 Line 12;LV1.108 Bus 2_2;LV1.108 Bus 4_4;NAYY 4x150SE 0.6/1kV;0.0162072;100;LV1.108;7
LV1.108 Line 13;LV1.108 Bus 13_1;LV1.108 Bus 9_2;NAYY 4x150SE 0.6/1kV;0.0460153;100;LV1.108;7
LV1.108 Line 11;LV1.108 Bus 5_1;LV1.108 Bus 6_2;NAYY 4x150SE 0.6/1kV;0.00258257;100;LV1.108;7
LV1.109 Line 1;LV1.109 Bus 10_1;LV1.109 Bus 3_1;NAYY 4x150SE 0.6/1kV;0.0557667;100;LV1.109;7
LV1.109 Line 2;LV1.109 Bus 14_1;LV1.109 Bus 12_1;NAYY 4x150SE 0.6/1kV;0.0535763;100;LV1.109;7
LV1.109 Line 3;LV1.109 Bus 7_1;LV1.109 Bus 4_1;NAYY 4x150SE 0.6/1kV;0.0498145;100;LV1.109;7
LV1.109 Line 4;LV1.109 Bus 9_1;LV1.109 Bus 2_1;NAYY 4x150SE 0.6/1kV;0.0178861;100;LV1.109;7
LV1.109 Line 5;LV1.109 Bus 8_1;LV1.109 Bus 11_1;NAYY 4x150SE 0.6/1kV;0.0160892;100;LV1.109;7
LV1.109 Line 6;LV1.109 Bus 11_2;LV1.109 Bus 10_2;NAYY 4x150SE 0.6/1kV;0.0247661;100;LV1.109;7
LV1.109 Line 7;LV1.109 Bus 4_2;LV1.109 Bus 8_2;NAYY 4x150SE 0.6/1kV;0.00514112;100;LV1.109;7
LV1.109 Line 8;LV1.109 Bus 12_2;LV1.109 Bus 7_2;NAYY 4x150SE 0.6/1kV;0.00214695;100;LV1.109;7
LV1.109 Line 9;LV1.109 Bus 6_1;LV1.109 Bus 14_2;NAYY 4x150SE 0.6/1kV;0.137215;100;LV1.109;7
LV1.109 Line 10;LV1.109 Bus 4_3;LV1.109 Bus 1_1;NAYY 4x150SE 0.6/1kV;0.132499;100;LV1.109;7
LV1.109 Line 12;LV1.109 Bus 2_2;LV1.109 Bus 4_4;NAYY 4x150SE 0.6/1kV;0.0162072;100;LV1.109;7
LV1.109 Line 13;LV1.109 Bus 13_1;LV1.109 Bus 9_2;NAYY 4x150SE 0.6/1kV;0.0460153;100;LV1.109;7
LV1.109 Line 11;LV1.109 Bus 5_1;LV1.109 Bus 6_2;NAYY 4x150SE 0.6/1kV;0.00258257;100;LV1.109;7
LV1.110 Line 1;LV1.110 Bus 10_1;LV1.110 Bus 3_1;NAYY 4x150SE 0.6/1kV;0.0557667;100;LV1.110;7
LV1.110 Line 2;LV1.110 Bus 14_1;LV1.110 Bus 12_1;NAYY 4x150SE 0.6/1kV;0.0535763;100;LV1.110;7
LV1.110 Line 3;LV1.110 Bus 7_1;LV1.110 Bus 4_1;NAYY 4x150SE 0.6/1kV;0.0498145;100;LV1.110;7
LV1.110 Line 4;LV1.110 Bus 9_1;LV1.110 Bus 2_1;NAYY 4x150SE 0.6/1kV;0.0178861;100;LV1.110;7
LV1.110 Line 5;LV1.110 Bus 8_1;LV1.110 Bus 11_1;NAYY 4x150SE 0.6/1kV;0.0160892;100;LV1.110;7
LV1.110 Line 6;LV1.110 Bus 11_2;LV1.110 Bus 10_2;NAYY 4x150SE 0.6/1kV;0.0247661;100;LV1.110;7
LV1.110 Line 7;LV1.110 Bus 4_2;LV1.110 Bus 8_2;NAYY 4x150SE 0.6/1kV;0.00514112;100;LV1.110;7
LV1.110 Line 8;LV1.110 Bus 12_2;LV1.110 Bus 7_2;NAYY 4x150SE 0.6/1kV;0.00214695;100;LV1.110;7
LV1.110 Line 9;LV1.110 Bus 6_1;LV1.110 Bus 14_2;NAYY 4x150SE 0.6/1kV;0.137215;100;LV1.110;7
LV1.110 Line 10;LV1.110 Bus 4_3;LV1.110 Bus 1_1;NAYY 4x150SE 0.6/1kV;0.132499;100;LV1.110;7
LV1.110 Line 12;LV1.110 Bus 2_2;LV1.110 Bus 4_4;NAYY 4x150SE 0.6/1kV;0.0162072;100;LV1.110;7
LV1.110 Line 13;LV1.110 Bus 13_1;LV1.110 Bus 9_2;NAYY 4x150SE 0.6/1kV;0.0460153;100;LV1.110;7
LV1.110 Line 11;LV1.110 Bus 5_1;LV1.110 Bus 6_2;NAYY 4x150SE 0.6/1kV;0.00258257;100;LV1.110;7
LV1.111 Line 1;LV1.111 Bus 10_1;LV1.111 Bus 3_1;NAYY 4x150SE 0.6/1kV;0.0557667;100;LV1.111;7
LV1.111 Line 2;LV1.111 Bus 14_1;LV1.111 Bus 12_1;NAYY 4x150SE 0.6/1kV;0.0535763;100;LV1.111;7
LV1.111 Line 3;LV1.111 Bus 7_1;LV1.111 Bus 4_1;NAYY 4x150SE 0.6/1kV;0.0498145;100;LV1.111;7
LV1.111 Line 4;LV1.111 Bus 9_1;LV1.111 Bus 2_1;NAYY 4x150SE 0.6/1kV;0.0178861;100;LV1.111;7
LV1.111 Line 5;LV1.111 Bus 8_1;LV1.111 Bus 11_1;NAYY 4x150SE 0.6/1kV;0.0160892;100;LV1.111;7
LV1.111 Line 6;LV1.111 Bus 11_2;LV1.111 Bus 10_2;NAYY 4x150SE 0.6/1kV;0.0247661;100;LV1.111;7
LV1.111 Line 7;LV1.111 Bus 4_2;LV1.111 Bus 8_2;NAYY 4x150SE 0.6/1kV;0.00514112;100;LV1.111;7
LV1.111 Line 8;LV1.111 Bus 12_2;LV1.111 Bus 7_2;NAYY 4x150SE 0.6/1kV;0.00214695;100;LV1.111;7
LV1.111 Line 9;LV1.111 Bus 6_1;LV1.111 Bus 14_2;NAYY 4x150SE 0.6/1kV;0.137215;100;LV1.111;7
LV1.111 Line 10;LV1.111 Bus 4_3;LV1.111 Bus 1_1;NAYY 4x150SE 0.6/1kV;0.132499;100;LV1.111;7
LV1.111 Line 12;LV1.111 Bus 2_2;LV1.111 Bus 4_4;NAYY 4x150SE 0.6/1kV;0.0162072;100;LV1.111;7
LV1.111 Line 13;LV1.111 Bus 13_1;LV1.111 Bus 9_2;NAYY 4x150SE 0.6/1kV;0.0460153;100;LV1.111;7
LV1.111 Line 11;LV1.111 Bus 5_1;LV1.111 Bus 6_2;NAYY 4x150SE 0.6/1kV;0.00258257;100;LV1.111;7
LV1.112 Line 1;LV1.112 Bus 10_1;LV1.112 Bus 3_1;NAYY 4x150SE 0.6/1kV;0.0557667;100;LV1.112;7
LV1.112 Line 2;LV1.112 Bus 14_1;LV1.112 Bus 12_1;NAYY 4x150SE 0.6/1kV;0.0535763;100;LV1.112;7
LV1.112 Line 3;LV1.112 Bus 7_1;LV1.112 Bus 4_1;NAYY 4x150SE 0.6/1kV;0.0498145;100;LV1.112;7
LV1.112 Line 4;LV1.112 Bus 9_1;LV1.112 Bus 2_1;NAYY 4x150SE 0.6/1kV;0.0178861;100;LV1.112;7
LV1.112 Line 5;LV1.112 Bus 8_1;LV1.112 Bus 11_1;NAYY 4x150SE 0.6/1kV;0.0160892;100;LV1.112;7
LV1.112 Line 6;LV1.112 Bus 11_2;LV1.112 Bus 10_2;NAYY 4x150SE 0.6/1kV;0.0247661;100;LV1.112;7
LV1.112 Line 7;LV1.112 Bus 4_2;LV1.112 Bus 8_2;NAYY 4x150SE 0.6/1kV;0.00514112;100;LV1.112;7
LV1.112 Line 8;LV1.112 Bus 12_2;LV1.112 Bus 7_2;NAYY 4x150SE 0.6/1kV;0.00214695;100;LV1.112;7
LV1.112 Line 9;LV1.112 Bus 6_1;LV1.112 Bus 14_2;NAYY 4x150SE 0.6/1kV;0.137215;100;LV1.112;7
LV1.112 Line 10;LV1.112 Bus 4_3;LV1.112 Bus 1_1;NAYY 4x150SE 0.6/1kV;0.132499;100;LV1.112;7
LV1.112 Line 12;LV1.112 Bus 2_2;LV1.112 Bus 4_4;NAYY 4x150SE 0.6/1kV;0.0162072;100;LV1.112;7
LV1.112 Line 13;LV1.112 Bus 13_1;LV1.112 Bus 9_2;NAYY 4x150SE 0.6/1kV;0.0460153;100;LV1.112;7
LV1.112 Line 11;LV1.112 Bus 5_1;LV1.112 Bus 6_2;NAYY 4x150SE 0.6/1kV;0.00258257;100;LV1.112;7
LV1.113 Line 1;LV1.113 Bus 10_1;LV1.113 Bus 3_1;NAYY 4x150SE 0.6/1kV;0.0557667;100;LV1.113;7
LV1.113 Line 2;LV1.113 Bus 14_1;LV1.113 Bus 12_1;NAYY 4x150SE 0.6/1kV;0.0535763;100;LV1.113;7
LV1.113 Line 3;LV1.113 Bus 7_1;LV1.113 Bus 4_1;NAYY 4x150SE 0.6/1kV;0.0498145;100;LV1.113;7
LV1.113 Line 4;LV1.113 Bus 9_1;LV1.113 Bus 2_1;NAYY 4x150SE 0.6/1kV;0.0178861;100;LV1.113;7
LV1.113 Line 5;LV1.113 Bus 8_1;LV1.113 Bus 11_1;NAYY 4x150SE 0.6/1kV;0.0160892;100;LV1.113;7
LV1.113 Line 6;LV1.113 Bus 11_2;LV1.113 Bus 10_2;NAYY 4x150SE 0.6/1kV;0.0247661;100;LV1.113;7
LV1.113 Line 7;LV1.113 Bus 4_2;LV1.113 Bus 8_2;NAYY 4x150SE 0.6/1kV;0.00514112;100;LV1.113;7
LV1.113 Line 8;LV1.113 Bus 12_2;LV1.113 Bus 7_2;NAYY 4x150SE 0.6/1kV;0.00214695;100;LV1.113;7
LV1.113 Line 9;LV1.113 Bus 6_1;LV1.113 Bus 14_2;NAYY 4x150SE 0.6/1kV;0.137215;100;LV1.113;7
LV1.113 Line 10;LV1.113 Bus 4_3;LV1.113 Bus 1_1;NAYY 4x150SE 0.6/1kV;0.132499;100;LV1.113;7
LV1.113 Line 12;LV1.113 Bus 2_2;LV1.113 Bus 4_4;NAYY 4x150SE 0.6/1kV;0.0162072;100;LV1.113;7
LV1.113 Line 13;LV1.113 Bus 13_1;LV1.113 Bus 9_2;NAYY 4x150SE 0.6/1kV;0.0460153;100;LV1.113;7
LV1.113 Line 11;LV1.113 Bus 5_1;LV1.113 Bus 6_2;NAYY 4x150SE 0.6/1kV;0.00258257;100;LV1.113;7
LV1.114 Line 1;LV1.114 Bus 10_1;LV1.114 Bus 3_1;NAYY 4x150SE 0.6/1kV;0.0557667;100;LV1.114;7
LV1.114 Line 2;LV1.114 Bus 14_1;LV1.114 Bus 12_1;NAYY 4x150SE 0.6/1kV;0.0535763;100;LV1.114;7
LV1.114 Line 3;LV1.114 Bus 7_1;LV1.114 Bus 4_1;NAYY 4x150SE 0.6/1kV;0.0498145;100;LV1.114;7
LV1.114 Line 4;LV1.114 Bus 9_1;LV1.114 Bus 2_1;NAYY 4x150SE 0.6/1kV;0.0178861;100;LV1.114;7
LV1.114 Line 5;LV1.114 Bus 8_1;LV1.114 Bus 11_1;NAYY 4x150SE 0.6/1kV;0.0160892;100;LV1.114;7
LV1.114 Line 6;LV1.114 Bus 11_2;LV1.114 Bus 10_2;NAYY 4x150SE 0.6/1kV;0.0247661;100;LV1.114;7
LV1.114 Line 7;LV1.114 Bus 4_2;LV1.114 Bus 8_2;NAYY 4x150SE 0.6/1kV;0.00514112;100;LV1.114;7
LV1.114 Line 8;LV1.114 Bus 12_2;LV1.114 Bus 7_2;NAYY 4x150SE 0.6/1kV;0.00214695;100;LV1.114;7
LV1.114 Line 9;LV1.114 Bus 6_1;LV1.114 Bus 14_2;NAYY 4x150SE 0.6/1kV;0.137215;100;LV1.114;7
LV1.114 Line 10;LV1.114 Bus 4_3;LV1.114 Bus 1_1;NAYY 4x150SE 0.6/1kV;0.132499;100;LV1.114;7
LV1.114 Line 12;LV1.114 Bus 2_2;LV1.114 Bus 4_4;NAYY 4x150SE 0.6/1kV;0.0162072;100;LV1.114;7
LV1.114 Line 13;LV1.114 Bus 13_1;LV1.114 Bus 9_2;NAYY 4x150SE 0.6/1kV;0.0460153;100;LV1.114;7
LV1.114 Line 11;LV1.114 Bus 5_1;LV1.114 Bus 6_2;NAYY 4x150SE 0.6/1kV;0.00258257;100;LV1.114;7
LV1.115 Line 1;LV1.115 Bus 10_1;LV1.115 Bus 3_1;NAYY 4x150SE 0.6/1kV;0.0557667;100;LV1.115;7
LV1.115 Line 2;LV1.115 Bus 14_1;LV1.115 Bus 12_1;NAYY 4x150SE 0.6/1kV;0.0535763;100;LV1.115;7
LV1.115 Line 3;LV1.115 Bus 7_1;LV1.115 Bus 4_1;NAYY 4x150SE 0.6/1kV;0.0498145;100;LV1.115;7
LV1.115 Line 4;LV1.115 Bus 9_1;LV1.115 Bus 2_1;NAYY 4x150SE 0.6/1kV;0.0178861;100;LV1.115;7
LV1.115 Line 5;LV1.115 Bus 8_1;LV1.115 Bus 11_1;NAYY 4x150SE 0.6/1kV;0.0160892;100;LV1.115;7
LV1.115 Line 6;LV1.115 Bus 11_2;LV1.115 Bus 10_2;NAYY 4x150SE 0.6/1kV;0.0247661;100;LV1.115;7
