id;nodeA;nodeB;type;cond;substation;subnet;voltLvl
LV1.101 Switch 28;LV1.101 Bus 14;LV1.101 Bus 14_2;LS;1;NULL;LV1.101;7
LV1.101 Switch 30;MV1.101 Bus 4;MV1.101 Bus 4_1;CB;1;NULL;LV1.101;5
LV1.102 Switch 1;LV1.102 Bus 1;LV1.102 Bus 1_1;LS;1;NULL;LV1.102;7
LV1.102 Switch 2;LV1.102 Bus 2;LV1.102 Bus 2_1;LS;1;NULL;LV1.102;7
LV1.102 Switch 3;LV1.102 Bus 2;LV1.102 Bus 2_2;LS;1;NULL;LV1.102;7
LV1.102 Switch 4;LV1.102 Bus 3;LV1.102 Bus 3_1;LS;1;NULL;LV1.102;7
LV1.102 Switch 5;LV1.102 Bus 4;LV1.102 Bus 4_1;LS;1;NULL;LV1.102;7
LV1.102 Switch 6;LV1.102 Bus 4;LV1.102 Bus 4_2;LS;1;NULL;LV1.102;7
LV1.102 Switch 7;LV1.102 Bus 4;LV1.102 Bus 4_3;LS;1;NULL;LV1.102;7
LV1.102 Switch 8;LV1.102 Bus 4;LV1.102 Bus 4_4;LS;1;NULL;LV1.102;7
LV1.102 Switch 9;LV1.102 Bus 4;LV1.102 Bus 4_5;CB;1;NULL;LV1.102;7
LV1.102 Switch 10;LV1.102 Bus 5;LV1.102 Bus 5_1;LS;1;NULL;LV1.102;7
LV1.102 Switch 12;LV1.102 Bus 6;LV1.102 Bus 6_1;LS;1;NULL;LV1.102;7
LV1.102 Switch 13;LV1.102 Bus 6;LV1.102 Bus 6_2;LS;1;NULL;LV1.102;7
LV1.102 Switch 14;LV1.102 Bus 7;LV1.102 Bus 7_1;LS;1;NULL;LV1.102;7
LV1.102 Switch 15;LV1.102 Bus 7;LV1.102 Bus 7_2;LS;1;NULL;LV1.102;7
LV1.102 Switch 16;LV1.102 Bus 8;LV1.102 Bus 8_1;LS;1;NULL;LV1.102;7
LV1.102 Switch 17;LV1.102 Bus 8;LV1.102 Bus 8_2;LS;1;NULL;LV1.102;7
LV1.102 Switch 18;LV1.102 Bus 9;LV1.102 Bus 9_1;LS;1;NULL;LV1.102;7
LV1.102 Switch 19;LV1.102 Bus 9;LV1.102 Bus 9_2;LS;1;NULL;LV1.102;7
LV1.102 Switch 20;LV1.102 Bus 10;LV1.102 Bus 10_1;LS;1;NULL;LV1.102;7
LV1.102 Switch 21;LV1.102 Bus 10;LV1.102 Bus 10_2;LS;1;NULL;LV1.102;7
LV1.102 Switch 22;LV1.102 Bus 11;LV1.102 Bus 11_1;LS;1;NULL;LV1.102;7
LV1.102 Switch 23;LV1.102 Bus 11;LV1.102 Bus 11_2;LS;1;NULL;LV1.102;7
LV1.102 Switch 24;LV1.102 Bus 12;LV1.102 Bus 12_1;LS;1;NULL;LV1.102;7
LV1.102 Switch 25;LV1.102 Bus 12;LV1.102 Bus 12_2;LS;1;NULL;LV1.102;7
LV1.102 Switch 26;LV1.102 Bus 13;LV1.102 Bus 13_1;LS;1;NULL;LV1.102;7
LV1.102 Switch 27;LV1.102 Bus 14;LV1.102 Bus 14_1;LS;1;NULL;LV1.102;7
LV1.102 Switch 28;LV1.102 Bus 14;LV1.102 Bus 14_2;LS;1;NULL;LV1.102;7
LV1.102 Switch 30;MV1.101 Bus 5;MV1.101 Bus 5_1;CB;1;NULL;LV1.102;5
LV1.103 Switch 1;LV1.103 Bus 1;LV1.103 Bus 1_1;LS;1;NULL;LV1.103;7
LV1.103 Switch 2;LV1.103 Bus 2;LV1.103 Bus 2_1;LS;1;NULL;LV1.103;7
LV1.103 Switch 3;LV1.103 Bus 2;LV1.103 Bus 2_2;LS;1;NULL;LV1.103;7
LV1.103 Switch 4;LV1.103 Bus 3;LV1.103 Bus 3_1;LS;1;NULL;LV1.103;7
LV1.103 Switch 5;LV1.103 Bus 4;LV1.103 Bus 4_1;LS;1;NULL;LV1.103;7
LV1.103 Switch 6;LV1.103 Bus 4;LV1.103 Bus 4_2;LS;1;NULL;LV1.103;7
LV1.103 Switch 7;LV1.103 Bus 4;LV1.103 Bus 4_3;LS;1;NULL;LV1.103;7
LV1.103 Switch 8;LV1.103 Bus 4;LV1.103 Bus 4_4;LS;1;NULL;LV1.103;7
LV1.103 Switch 9;LV1.103 Bus 4;LV1.103 Bus 4_5;CB;1;NULL;LV1.103;7
LV1.103 Switch 10;LV1.103 Bus 5;LV1.103 Bus 5_1;LS;1;NULL;LV1.103;7
LV1.103 Switch 12;LV1.103 Bus 6;LV1.103 Bus 6_1;LS;1;NULL;LV1.103;7
LV1.103 Switch 13;LV1.103 Bus 6;LV1.103 Bus 6_2;LS;1;NULL;LV1.103;7
LV1.103 Switch 14;LV1.103 Bus 7;LV1.103 Bus 7_1;LS;1;NULL;LV1.103;7
LV1.103 Switch 15;LV1.103 Bus 7;LV1.103 Bus 7_2;LS;1;NULL;LV1.103;7
LV1.103 Switch 16;LV1.103 Bus 8;LV1.103 Bus 8_1;LS;1;NULL;LV1.103;7
LV1.103 Switch 17;LV1.103 Bus 8;LV1.103 Bus 8_2;LS;1;NULL;LV1.103;7
LV1.103 Switch 18;LV1.103 Bus 9;LV1.103 Bus 9_1;LS;1;NULL;LV1.103;7
LV1.103 Switch 19;LV1.103 Bus 9;LV1.103 Bus 9_2;LS;1;NULL;LV1.103;7
LV1.103 Switch 20;LV1.103 Bus 10;LV1.103 Bus 10_1;LS;1;NULL;LV1.103;7
LV1.103 Switch 21;LV1.103 Bus 10;LV1.103 Bus 10_2;LS;1;NULL;LV1.103;7
LV1.103 Switch 22;LV1.103 Bus 11;LV1.103 Bus 11_1;LS;1;NULL;LV1.103;7
LV1.103 Switch 23;LV1.103 Bus 11;LV1.103 Bus 11_2;LS;1;NULL;LV1.103;7
LV1.103 Switch 24;LV1.103 Bus 12;LV1.103 Bus 12_1;LS;1;NULL;LV1.103;7
LV1.103 Switch 25;LV1.103 Bus 12;LV1.103 Bus 12_2;LS;1;NULL;LV1.103;7
LV1.103 Switch 26;LV1.103 Bus 13;LV1.103 Bus 13_1;LS;1;NULL;LV1.103;7
LV1.103 Switch 27;LV1.103 Bus 14;LV1.103 Bus 14_1;LS;1;NULL;LV1.103;7
LV1.103 Switch 28;LV1.103 Bus 14;LV1.103 Bus 14_2;LS;1;NULL;LV1.103;7
LV1.103 Switch 30;MV1.101 Bus 6;MV1.101 Bus 6_1;CB;1;NULL;LV1.103;5
LV1.104 Switch 1;LV1.104 Bus 1;LV1.104 Bus 1_1;LS;1;NULL;LV1.104;7
LV1.104 Switch 2;LV1.104 Bus 2;LV1.104 Bus 2_1;LS;1;NULL;LV1.104;7
LV1.104 Switch 3;LV1.104 Bus 2;LV1.104 Bus 2_2;LS;1;NULL;LV1.104;7
LV1.104 Switch 4;LV1.104 Bus 3;LV1.104 Bus 3_1;LS;1;NULL;LV1.104;7
LV1.104 Switch 5;LV1.104 Bus 4;LV1.104 Bus 4_1;LS;1;NULL;LV1.104;7
LV1.104 Switch 6;LV1.104 Bus 4;LV1.104 Bus 4_2;LS;1;NULL;LV1.104;7
LV1.104 Switch 7;LV1.104 Bus 4;LV1.104 Bus 4_3;LS;1;NULL;LV1.104;7
LV1.104 Switch 8;LV1.104 Bus 4;LV1.104 Bus 4_4;LS;1;NULL;LV1.104;7
LV1.104 Switch 9;LV1.104 Bus 4;LV1.104 Bus 4_5;CB;1;NULL;LV1.104;7
LV1.104 Switch 10;LV1.104 Bus 5;LV1.104 Bus 5_1;LS;1;NULL;LV1.104;7
LV1.104 Switch 12;LV1.104 Bus 6;LV1.104 Bus 6_1;LS;1;NULL;LV1.104;7
LV1.104 Switch 13;LV1.104 Bus 6;LV1.104 Bus 6_2;LS;1;NULL;LV1.104;7
LV1.104 Switch 14;LV1.104 Bus 7;LV1.104 Bus 7_1;LS;1;NULL;LV1.104;7
LV1.104 Switch 15;LV1.104 Bus 7;LV1.104 Bus 7_2;LS;1;NULL;LV1.104;7
LV1.104 Switch 16;LV1.104 Bus 8;LV1.104 Bus 8_1;LS;1;NULL;LV1.104;7
LV1.104 Switch 17;LV1.104 Bus 8;LV1.104 Bus 8_2;LS;1;NULL;LV1.104;7
LV1.104 Switch 18;LV1.104 Bus 9;LV1.104 Bus 9_1;LS;1;NULL;LV1.104;7
LV1.104 Switch 19;LV1.104 Bus 9;LV1.104 Bus 9_2;LS;1;NULL;LV1.104;7
LV1.104 Switch 20;LV1.104 Bus 10;LV1.104 Bus 10_1;LS;1;NULL;LV1.104;7
LV1.104 Switch 21;LV1.104 Bus 10;LV1.104 Bus 10_2;LS;1;NULL;LV1.104;7
LV1.104 Switch 22;LV1.104 Bus 11;LV1.104 Bus 11_1;LS;1;NULL;LV1.104;7
LV1.104 Switch 23;LV1.104 Bus 11;LV1.104 Bus 11_2;LS;1;NULL;LV1.104;7
LV1.104 Switch 24;LV1.104 Bus 12;LV1.104 Bus 12_1;LS;1;NULL;LV1.104;7
LV1.104 Switch 25;LV1.104 Bus 12;LV1.104 Bus 12_2;LS;1;NULL;LV1.104;7
LV1.104 Switch 26;LV1.104 Bus 13;LV1.104 Bus 13_1;LS;1;NULL;LV1.104;7
LV1.104 Switch 27;LV1.104 Bus 14;LV1.104 Bus 14_1;LS;1;NULL;LV1.104;7
LV1.104 Switch 28;LV1.104 Bus 14;LV1.104 Bus 14_2;LS;1;NULL;LV1.104;7
LV1.104 Switch 30;MV1.101 Bus 7;MV1.101 Bus 7_1;CB;1;NULL;LV1.104;5
LV1.105 Switch 1;LV1.105 Bus 1;LV1.105 Bus 1_1;LS;1;NULL;LV1.105;7
LV1.105 Switch 2;LV1.105 Bus 2;LV1.105 Bus 2_1;LS;1;NULL;LV1.105;7
LV1.105 Switch 3;LV1.105 Bus 2;LV1.105 Bus 2_2;LS;1;NULL;LV1.105;7
LV1.105 Switch 4;LV1.105 Bus 3;LV1.105 Bus 3_1;LS;1;NULL;LV1.105;7
LV1.105 Switch 5;LV1.105 Bus 4;LV1.105 Bus 4_1;LS;1;NULL;LV1.105;7
LV1.105 Switch 6;LV1.105 Bus 4;LV1.105 Bus 4_2;LS;1;NULL;LV1.105;7
LV1.105 Switch 7;LV1.105 Bus 4;LV1.105 Bus 4_3;LS;1;NULL;LV1.105;7
LV1.105 Switch 8;LV1.105 Bus 4;LV1.105 Bus 4_4;LS;1;NULL;LV1.105;7
LV1.105 Switch 9;LV1.105 Bus 4;LV1.105 Bus 4_5;CB;1;NULL;LV1.105;7
LV1.105 Switch 10;LV1.105 Bus 5;LV1.105 Bus 5_1;LS;1;NULL;LV1.105;7
LV1.105 Switch 12;LV1.105 Bus 6;LV1.105 Bus 6_1;LS;1;NULL;LV1.105;7
LV1.105 Switch 13;LV1.105 Bus 6;LV1.105 Bus 6_2;LS;1;NULL;LV1.105;7
LV1.105 Switch 14;LV1.105 Bus 7;LV1.105 Bus 7_1;LS;1;NULL;LV1.105;7
LV1.105 Switch 15;LV1.105 Bus 7;LV1.105 Bus 7_2;LS;1;NULL;LV1.105;7
LV1.105 Switch 16;LV1.105 Bus 8;LV1.105 Bus 8_1;LS;1;NULL;LV1.105;7
LV1.105 Switch 17;LV1.105 Bus 8;LV1.105 Bus 8_2;LS;1;NULL;LV1.105;7
LV1.105 Switch 18;LV1.105 Bus 9;LV1.105 Bus 9_1;LS;1;NULL;LV1.105;7
LV1.105 Switch 19;LV1.105 Bus 9;LV1.105 Bus 9_2;LS;1;NULL;LV1.105;7
LV1.105 Switch 20;LV1.105 Bus 10;LV1.105 Bus 10_1;LS;1;NULL;LV1.105;7
LV1.105 Switch 21;LV1.105 Bus 10;LV1.105 Bus 10_2;LS;1;NULL;LV1.105;7
LV1.105 Switch 22;LV1.105 Bus 11;LV1.105 Bus 11_1;LS;1;NULL;LV1.105;7
LV1.105 Switch 23;LV1.105 Bus 11;LV1.105 Bus 11_2;LS;1;NULL;LV1.105;7
LV1.105 Switch 24;LV1.105 Bus 12;LV1.105 Bus 12_1;LS;1;NULL;LV1.105;7
LV1.105 Switch 25;LV1.105 Bus 12;LV1.105 Bus 12_2;LS;1;NULL;LV1.105;7
LV1.105 Switch 26;LV1.105 Bus 13;LV1.105 Bus 13_1;LS;1;NULL;LV1.105;7
LV1.105 Switch 27;LV1.105 Bus 14;LV1.105 Bus 14_1;LS;1;NULL;LV1.105;7
LV1.105 Switch 28;LV1.105 Bus 14;LV1.105 Bus 14_2;LS;1;NULL;LV1.105;7
LV1.105 Switch 30;MV1.101 Bus 19;MV1.101 Bus 19_1;CB;1;NULL;LV1.105;5
LV1.106 Switch 1;LV1.106 Bus 1;LV1.106 Bus 1_1;LS;1;NULL;LV1.106;7
LV1.106 Switch 2;LV1.106 Bus 2;LV1.106 Bus 2_1;LS;1;NULL;LV1.106;7
LV1.106 Switch 3;LV1.106 Bus 2;LV1.106 Bus 2_2;LS;1;NULL;LV1.106;7
LV1.106 Switch 4;LV1.106 Bus 3;LV1.106 Bus 3_1;LS;1;NULL;LV1.106;7
LV1.106 Switch 5;LV1.106 Bus 4;LV1.106 Bus 4_1;LS;1;NULL;LV1.106;7
LV1.106 Switch 6;LV1.106 Bus 4;LV1.106 Bus 4_2;LS;1;NULL;LV1.106;7
LV1.106 Switch 7;LV1.106 Bus 4;LV1.106 Bus 4_3;LS;1;NULL;LV1.106;7
LV1.106 Switch 8;LV1.106 Bus 4;LV1.106 Bus 4_4;LS;1;NULL;LV1.106;7
LV1.106 Switch 9;LV1.106 Bus 4;LV1.106 Bus 4_5;CB;1;NULL;LV1.106;7
LV1.106 Switch 10;LV1.106 Bus 5;LV1.106 Bus 5_1;LS;1;NULL;LV1.106;7
LV1.106 Switch 12;LV1.106 Bus 6;LV1.106 Bus 6_1;LS;1;NULL;LV1.106;7
LV1.106 Switch 13;LV1.106 Bus 6;LV1.106 Bus 6_2;LS;1;NULL;LV1.106;7
LV1.106 Switch 14;LV1.106 Bus 7;LV1.106 Bus 7_1;LS;1;NULL;LV1.106;7
LV1.106 Switch 15;LV1.106 Bus 7;LV1.106 Bus 7_2;LS;1;NULL;LV1.106;7
LV1.106 Switch 16;LV1.106 Bus 8;LV1.106 Bus 8_1;LS;1;NULL;LV1.106;7
LV1.106 Switch 17;LV1.106 Bus 8;LV1.106 Bus 8_2;LS;1;NULL;LV1.106;7
LV1.106 Switch 18;LV1.106 Bus 9;LV1.106 Bus 9_1;LS;1;NULL;LV1.106;7
LV1.106 Switch 19;LV1.106 Bus 9;LV1.106 Bus 9_2;LS;1;NULL;LV1.106;7
LV1.106 Switch 20;LV1.106 Bus 10;LV1.106 Bus 10_1;LS;1;NULL;LV1.106;7
LV1.106 Switch 21;LV1.106 Bus 10;LV1.106 Bus 10_2;LS;1;NULL;LV1.106;7
LV1.106 Switch 22;LV1.106 Bus 11;LV1.106 Bus 11_1;LS;1;NULL;LV1.106;7
LV1.106 Switch 23;LV1.106 Bus 11;LV1.106 Bus 11_2;LS;1;NULL;LV1.106;7
LV1.106 Switch 24;LV1.106 Bus 12;LV1.106 Bus 12_1;LS;1;NULL;LV1.106;7
LV1.106 Switch 25;LV1.106 Bus 12;LV1.106 Bus 12_2;LS;1;NULL;LV1.106;7
LV1.106 Switch 26;LV1.106 Bus 13;LV1.106 Bus 13_1;LS;1;NULL;LV1.106;7
LV1.106 Switch 27;LV1.106 Bus 14;LV1.106 Bus 14_1;LS;1;NULL;LV1.106;7
LV1.106 Switch 28;LV1.106 Bus 14;LV1.106 Bus 14_2;LS;1;NULL;LV1.106;7
LV1.106 Switch 30;MV1.101 Bus 20;MV1.101 Bus 20_1;CB;1;NULL;LV1.106;5
LV1.107 Switch 1;LV1.107 Bus 1;LV1.107 Bus 1_1;LS;1;NULL;LV1.107;7
LV1.107 Switch 2;LV1.107 Bus 2;LV1.107 Bus 2_1;LS;1;NULL;LV1.107;7
LV1.107 Switch 3;LV1.107 Bus 2;LV1.107 Bus 2_2;LS;1;NULL;LV1.107;7
LV1.107 Switch 4;LV1.107 Bus 3;LV1.107 Bus 3_1;LS;1;NULL;LV1.107;7
LV1.107 Switch 5;LV1.107 Bus 4;LV1.107 Bus 4_1;LS;1;NULL;LV1.107;7
LV1.107 Switch 6;LV1.107 Bus 4;LV1.107 Bus 4_2;LS;1;NULL;LV1.107;7
LV1.107 Switch 7;LV1.107 Bus 4;LV1.107 Bus 4_3;LS;1;NULL;LV1.107;7
LV1.107 Switch 8;LV1.107 Bus 4;LV1.107 Bus 4_4;LS;1;NULL;LV1.107;7
LV1.107 Switch 9;LV1.107 Bus 4;LV1.107 Bus 4_5;CB;1;NULL;LV1.107;7
LV1.107 Switch 10;LV1.107 Bus 5;LV1.107 Bus 5_1;LS;1;NULL;LV1.107;7
LV1.107 Switch 12;LV1.107 Bus 6;LV1.107 Bus 6_1;LS;1;NULL;LV1.107;7
LV1.107 Switch 13;LV1.107 Bus 6;LV1.107 Bus 6_2;LS;1;NULL;LV1.107;7
LV1.107 Switch 14;LV1.107 Bus 7;LV1.107 Bus 7_1;LS;1;NULL;LV1.107;7
LV1.107 Switch 15;LV1.107 Bus 7;LV1.107 Bus 7_2;LS;1;NULL;LV1.107;7
LV1.107 Switch 16;LV1.107 Bus 8;LV1.107 Bus 8_1;LS;1;NULL;LV1.107;7
LV1.107 Switch 17;LV1.107 Bus 8;LV1.107 Bus 8_2;LS;1;NULL;LV1.107;7
LV1.107 Switch 18;LV1.107 Bus 9;LV1.107 Bus 9_1;LS;1;NULL;LV1.107;7
LV1.107 Switch 19;LV1.107 Bus 9;LV1.107 Bus 9_2;LS;1;NULL;LV1.107;7
LV1.107 Switch 20;LV1.107 Bus 10;LV1.107 Bus 10_1;LS;1;NULL;LV1.107;7
LV1.107 Switch 21;LV1.107 Bus 10;LV1.107 Bus 10_2;LS;1;NULL;LV1.107;7
LV1.107 Switch 22;LV1.107 Bus 11;LV1.107 Bus 11_1;LS;1;NULL;LV1.107;7
LV1.107 Switch 23;LV1.107 Bus 11;LV1.107 Bus 11_2;LS;1;NULL;LV1.107;7
LV1.107 Switch 24;LV1.107 Bus 12;LV1.107 Bus 12_1;LS;1;NULL;LV1.107;7
LV1.107 Switch 25;LV1.107 Bus 12;LV1.107 Bus 12_2;LS;1;NULL;LV1.107;7
LV1.107 Switch 26;LV1.107 Bus 13;LV1.107 Bus 13_1;LS;1;NULL;LV1.107;7
LV1.107 Switch 27;LV1.107 Bus 14;LV1.107 Bus 14_1;LS;1;NULL;LV1.107;7
LV1.107 Switch 28;LV1.107 Bus 14;LV1.107 Bus 14_2;LS;1;NULL;LV1.107;7
LV1.107 Switch 30;MV1.101 Bus 21;MV1.101 Bus 21_1;CB;1;NULL;LV1.107;5
LV1.108 Switch 1;LV1.108 Bus 1;LV1.108 Bus 1_1;LS;1;NULL;LV1.108;7
LV1.108 Switch 2;LV1.108 Bus 2;LV1.108 Bus 2_1;LS;1;NULL;LV1.108;7
LV1.108 Switch 3;LV1.108 Bus 2;LV1.108 Bus 2_2;LS;1;NULL;LV1.108;7
LV1.108 Switch 4;LV1.108 Bus 3;LV1.108 Bus 3_1;LS;1;NULL;LV1.108;7
LV1.108 Switch 5;LV1.108 Bus 4;LV1.108 Bus 4_1;LS;1;NULL;LV1.108;7
LV1.108 Switch 6;LV1.108 Bus 4;LV1.108 Bus 4_2;LS;1;NULL;LV1.108;7
LV1.108 Switch 7;LV1.108 Bus 4;LV1.108 Bus 4_3;LS;1;NULL;LV1.108;7
LV1.108 Switch 8;LV1.108 Bus 4;LV1.108 Bus 4_4;LS;1;NULL;LV1.108;7
LV1.108 Switch 9;LV1.108 Bus 4;LV1.108 Bus 4_5;CB;1;NULL;LV1.108;7
LV1.108 Switch 10;LV1.108 Bus 5;LV1.108 Bus 5_1;LS;1;NULL;LV1.108;7
LV1.108 Switch 12;LV1.108 Bus 6;LV1.108 Bus 6_1;LS;1;NULL;LV1.108;7
LV1.108 Switch 13;LV1.108 Bus 6;LV1.108 Bus 6_2;LS;1;NULL;LV1.108;7
LV1.108 Switch 14;LV1.108 Bus 7;LV1.108 Bus 7_1;LS;1;NULL;LV1.108;7
LV1.108 Switch 15;LV1.108 Bus 7;LV1.108 Bus 7_2;LS;1;NULL;LV1.108;7
LV1.108 Switch 16;LV1.108 Bus 8;LV1.108 Bus 8_1;LS;1;NULL;LV1.108;7
LV1.108 Switch 17;LV1.108 Bus 8;LV1.108 Bus 8_2;LS;1;NULL;LV1.108;7
LV1.108 Switch 18;LV1.108 Bus 9;LV1.108 Bus 9_1;LS;1;NULL;LV1.108;7
LV1.108 Switch 19;LV1.108 Bus 9;LV1.108 Bus 9_2;LS;1;NULL;LV1.108;7
LV1.108 Switch 20;LV1.108 Bus 10;LV1.108 Bus 10_1;LS;1;NULL;LV1.108;7
LV1.108 Switch 21;LV1.108 Bus 10;LV1.108 Bus 10_2;LS;1;NULL;LV1.108;7
LV1.108 Switch 22;LV1.108 Bus 11;LV1.108 Bus 11_1;LS;1;NULL;LV1.108;7
LV1.108 Switch 23;LV1.108 Bus 11;LV1.108 Bus 11_2;LS;1;NULL;LV1.108;7
LV1.108 Switch 24;LV1.108 Bus 12;LV1.108 Bus 12_1;LS;1;NULL;LV1.108;7
LV1.108 Switch 25;LV1.108 Bus 12;LV1.108 Bus 12_2;LS;1;NULL;LV1.108;7
LV1.108 Switch 26;LV1.108 Bus 13;LV1.108 Bus 13_1;LS;1;NULL;LV1.108;7
LV1.108 Switch 27;LV1.108 Bus 14;LV1.108 Bus 14_1;LS;1;NULL;LV1.108;7
LV1.108 Switch 28;LV1.108 Bus 14;LV1.108 Bus 14_2;LS;1;NULL;LV1.108;7
LV1.108 Switch 30;MV1.101 Bus 22;MV1.101 Bus 22_1;CB;1;NULL;LV1.108;5
LV1.109 Switch 1;LV1.109 Bus 1;LV1.109 Bus 1_1;LS;1;NULL;LV1.109;7
LV1.109 Switch 2;LV1.109 Bus 2;LV1.109 Bus 2_1;LS;1;NULL;LV1.109;7
LV1.109 Switch 3;LV1.109 Bus 2;LV1.109 Bus 2_2;LS;1;NULL;LV1.109;7
LV1.109 Switch 4;LV1.109 Bus 3;LV1.109 Bus 3_1;LS;1;NULL;LV1.109;7
LV1.109 Switch 5;LV1.109 Bus 4;LV1.109 Bus 4_1;LS;1;NULL;LV1.109;7
LV1.109 Switch 6;LV1.109 Bus 4;LV1.109 Bus 4_2;LS;1;NULL;LV1.109;7
LV1.109 Switch 7;LV1.109 Bus 4;LV1.109 Bus 4_3;LS;1;NULL;LV1.109;7
LV1.109 Switch 8;LV1.109 Bus 4;LV1.109 Bus 4_4;LS;1;NULL;LV1.109;7
LV1.109 Switch 9;LV1.109 Bus 4;LV1.109 Bus 4_5;CB;1;NULL;LV1.109;7
LV1.109 Switch 10;LV1.109 Bus 5;LV1.109 Bus 5_1;LS;1;NULL;LV1.109;7
LV1.109 Switch 12;LV1.109 Bus 6;LV1.109 Bus 6_1;LS;1;NULL;LV1.109;7
LV1.109 Switch 13;LV1.109 Bus 6;LV1.109 Bus 6_2;LS;1;NULL;LV1.109;7
LV1.109 Switch 14;LV1.109 Bus 7;LV1.109 Bus 7_1;LS;1;NULL;LV1.109;7
LV1.109 Switch 15;LV1.109 Bus 7;LV1.109 Bus 7_2;LS;1;NULL;LV1.109;7
LV1.109 Switch 16;LV1.109 Bus 8;LV1.109 Bus 8_1;LS;1;NULL;LV1.109;7
LV1.109 Switch 17;LV1.109 Bus 8;LV1.109 Bus 8_2;LS;1;NULL;LV1.109;7
LV1.109 Switch 18;LV1.109 Bus 9;LV1.109 Bus 9_1;LS;1;NULL;LV1.109;7
LV1.109 Switch 19;LV1.109 Bus 9;LV1.109 Bus 9_2;LS;1;NULL;LV1.109;7
LV1.109 Switch 20;LV1.109 Bus 10;LV1.109 Bus 10_1;LS;1;NULL;LV1.109;7
LV1.109 Switch 21;LV1.109 Bus 10;LV1.109 Bus 10_2;LS;1;NULL;LV1.109;7
LV1.109 Switch 22;LV1.109 Bus 11;LV1.109 Bus 11_1;LS;1;NULL;LV1.109;7
LV1.109 Switch 23;LV1.109 Bus 11;LV1.109 Bus 11_2;LS;1;NULL;LV1.109;7
LV1.109 Switch 24;LV1.109 Bus 12;LV1.109 Bus 12_1;LS;1;NULL;LV1.109;7
LV1.109 Switch 25;LV1.109 Bus 12;LV1.109 Bus 12_2;LS;1;NULL;LV1.109;7
LV1.109 Switch 26;LV1.109 Bus 13;LV1.109 Bus 13_1;LS;1;NULL;LV1.109;7
LV1.109 Switch 27;LV1.109 Bus 14;LV1.109 Bus 14_1;LS;1;NULL;LV1.109;7
LV1.109 Switch 28;LV1.109 Bus 14;LV1.109 Bus 14_2;LS;1;NULL;LV1.109;7
LV1.109 Switch 30;MV1.101 Bus 25;MV1.101 Bus 25_1;CB;1;NULL;LV1.109;5
LV1.110 Switch 1;LV1.110 Bus 1;LV1.110 Bus 1_1;LS;1;NULL;LV1.110;7
